Wall time,Step,Value
1692966381.9465718,160000,5.454545497894287
1692966431.1115184,320000,44.474185943603516
1692966451.5321429,384000,156.78392028808594
1692966482.8893242,480000,151.03448486328125
1692966532.9663658,640000,232.45118713378906
1692966578.8409035,768000,190.39999389648438
1692966589.9970992,800000,174.3478240966797
1692966640.320047,960000,319.91070556640625
1692966694.9705412,1120000,258.989013671875
1692966705.9268827,1152000,262.6966247558594
1692966746.7133443,1280000,388.0813903808594
1692966800.7453887,1440000,376.76055908203125
1692966836.4117167,1536000,290.4942932128906
1692966857.3500123,1600000,758.1944580078125
1692966907.9079266,1760000,624.7979736328125
1692966960.7265985,1920000,637.3753051757812
1692967013.5016534,2080000,806.5957641601562
1692967066.192498,2240000,880.4383544921875
1692967088.7970347,2304000,1020.6944580078125
1692967118.8185382,2400000,1121.111083984375
1692967172.2391086,2560000,1136.5147705078125
1692967218.1850715,2688000,1201.83740234375
1692967228.5844839,2720000,1164.0579833984375
1692967279.0338633,2880000,1176.9801025390625
