Wall time,Step,Value
1692966381.9464023,160000,302.25
1692966431.11136,320000,305.0
1692966482.8891575,480000,327.3999938964844
1692966532.9662218,640000,362.54998779296875
1692966589.9969337,800000,335.79998779296875
1692966640.319894,960000,330.3500061035156
1692966694.9703937,1120000,364.8999938964844
1692966746.7131908,1280000,348.989990234375
1692966800.7452328,1440000,379.69000244140625
1692966857.349858,1600000,468.29998779296875
1692966907.907777,1760000,404.2699890136719
1692966960.7308698,1920000,409.4100036621094
1692967013.501487,2080000,434.8900146484375
1692967066.192346,2240000,439.05999755859375
1692967118.8183365,2400000,509.20001220703125
1692967172.2389438,2560000,421.1000061035156
1692967228.584315,2720000,459.6600036621094
1692967279.0336757,2880000,473.7099914550781
