Wall time,Step,Value
1692966381.946474,160000,3042.0
1692966431.11142,320000,3145.0
1692966482.8892283,480000,3126.0
1692966532.9662712,640000,3143.0
1692966589.9970036,800000,3069.0
1692966640.3199503,960000,3087.0
1692966694.9704456,1120000,3063.0
1692966746.7132468,1280000,3066.0
1692966800.745292,1440000,3054.0
1692966857.3499155,1600000,3030.0
1692966907.907831,1760000,3042.0
1692966960.7309113,1920000,3041.0
1692967013.5015583,2080000,3040.0
1692967066.1923966,2240000,3040.0
1692967118.8184106,2400000,3040.0
1692967172.2390134,2560000,3037.0
1692967228.5843868,2720000,3024.0
1692967279.0337653,2880000,3032.0
