Wall time,Step,Value
1692966381.9465606,160000,258.93560791015625
1692966431.1115067,320000,250.56214904785156
1692966451.5321317,384000,231.63818359375
1692966482.889313,480000,267.79998779296875
1692966532.9663546,640000,261.791748046875
1692966578.8408916,768000,244.52000427246094
1692966589.997088,800000,263.38043212890625
1692966640.3200352,960000,263.8147277832031
1692966694.97053,1120000,264.27471923828125
1692966705.9268713,1152000,291.38201904296875
1692966746.7133327,1280000,238.47093200683594
1692966800.7453773,1440000,258.5070495605469
1692966836.411705,1536000,266.9695739746094
1692966857.3500009,1600000,318.8958435058594
1692966907.9079154,1760000,304.2095947265625
1692966960.726587,1920000,307.09185791015625
1692967013.5016425,2080000,320.3883056640625
1692967066.1924858,2240000,330.3643798828125
1692967088.7970235,2304000,367.7569580078125
1692967118.8185263,2400000,356.5707092285156
1692967172.2390974,2560000,336.4128723144531
1692967218.1850598,2688000,360.70672607421875
1692967228.5844724,2720000,343.7246398925781
1692967279.0338519,2880000,355.2108154296875
