Wall time,Step,Value
1692829192.567126,19264,266.375
1692829193.6414936,24080,267.125
1692829198.0935123,43344,268.1333312988281
1692829200.773089,52976,266.4666748046875
1692829200.828699,53136,267.0
1692829205.4035702,62608,262.1538391113281
1692829205.4656417,62768,271.6666564941406
1692829207.0315232,67424,254.76922607421875
1692829208.4898574,72240,271.5384521484375
1692829208.5535822,72400,271.3333435058594
1692829211.56779,81872,267.0769348144531
1692829211.616037,82032,268.6666564941406
1692829216.2725818,96480,241.0
1692829220.4147005,105952,278.0
1692829220.4692,106112,273.3333435058594
1692829222.1112854,110768,265.69232177734375
1692829223.7557504,115584,263.23077392578125
1692829229.0633671,130032,252.0
1692829229.1316025,130192,256.3999938964844
1692829229.3756294,130672,248.0
1692829230.7952445,135008,250.75
1692829232.6189072,139904,260.1666564941406
1692829234.307324,144720,235.8333282470703
1692829236.1206503,149536,242.5
1692829236.6589065,150816,249.5
1692829237.7938874,154112,246.57142639160156
1692829237.8737485,154192,244.5
1692829238.426305,155632,264.3333435058594
1692829239.6351745,158928,264.5714416503906
1692829239.6652489,159008,257.5
1692829239.7779944,159168,264.25
1692829241.5070012,163744,231.85714721679688
1692829241.5379653,163824,240.5
1692829243.8793776,170080,248.3333282470703
1692829245.1055465,173456,262.0
1692829245.1659148,173616,258.0
1692829246.7920475,178192,242.57142639160156
1692829247.3154857,179712,231.3333282470703
1692829249.2638981,184528,224.3333282470703
1692829250.4877384,187824,267.6666564941406
1692829254.1291602,197696,258.20001220703125
1692829254.3066149,198176,261.3333435058594
1692829255.8318088,202592,239.25
1692829257.4875894,207088,254.5
1692829257.638201,207488,238.0
1692829258.562002,209488,250.6666717529297
1692829261.726179,217760,242.39999389648438
1692829264.1868296,223936,239.3333282470703
1692829266.052208,228752,236.6666717529297
1692829267.2023513,231408,240.39999389648438
1692829267.5799017,232208,226.8000030517578
1692829269.8231294,236224,227.8000030517578
1692829269.9557796,236464,221.6666717529297
1692829270.4098496,237024,216.60000610351562
1692829272.8010516,241840,234.0
1692829273.322596,243200,238.3333282470703
1692829276.8100493,251472,209.1999969482422
1692829278.9406834,255488,210.25
1692829279.1933596,255728,198.5
1692829280.8859472,260384,195.0
1692829284.1708653,268560,263.25
1692829285.0342972,270736,252.39999389648438
1692829285.367259,271376,243.3333282470703
1692829286.6621194,274832,182.5
1692829287.1902242,276192,217.6666717529297
1692829290.5536115,284704,227.25
1692829290.7261262,285184,201.0
1692829290.9623253,285824,202.0
1692829292.6556077,290000,252.0
1692829292.896864,290640,266.5
1692829293.6894085,292640,219.0
1692829294.3963642,294336,238.75
1692829295.088509,295776,195.0
1692829296.1105154,297456,256.6666564941406
1692829297.3867164,300592,274.6000061035156
1692829298.0434523,302272,254.3333282470703
1692829298.7485633,304048,142.75
1692829300.928348,309104,210.75
1692829301.1736584,309744,220.0
1692829301.545228,310624,207.75
1692829303.0184417,314560,220.75
1692829304.7789063,319376,113.0
1692829305.1111171,320256,99.25
1692829306.4423966,323552,251.75
1692829306.7073226,324192,234.25
1692829307.0741763,325072,235.5
1692829307.5728085,326352,226.0
1692829308.7586224,329008,193.0
1692829309.644568,331168,223.75
1692829310.694787,333824,190.75
1692829311.5259655,335984,202.75
1692829312.8674057,338880,109.75
1692829313.4366164,340400,132.5
1692829315.2146308,344656,269.5
1692829315.6543674,345616,169.75
1692829316.254346,347152,221.5
1692829316.6910226,348192,197.25
1692829317.9139986,351312,185.75
1692829318.4001977,352608,204.75
1692829320.3713365,357424,135.75
1692829323.0978882,364880,175.5
1692829324.2694397,367840,245.0
1692829324.8413246,369296,222.8000030517578
1692829325.4373813,370736,213.6666717529297
1692829326.1994796,372656,157.5
1692829326.7160964,374112,186.0
1692829327.5732486,376496,197.25
1692829327.9442754,377472,245.25
1692829328.5515695,378928,271.0
1692829329.111281,380368,237.75
1692829332.0446591,386144,202.25
1692829332.521552,387440,164.5
1692829333.4000218,389680,180.75
1692829335.2930264,394496,142.5
1692829335.6436071,395456,166.0
1692829336.084678,396496,142.25
1692829337.6242914,400576,149.25
1692829341.3805225,410208,202.25
1692829341.8092315,411424,183.5
1692829343.1376615,415024,192.75
1692829343.7569165,416640,224.5
1692829344.994452,419840,164.5
1692829345.5757482,421456,195.25
1692829347.0222228,425072,126.0
1692829347.3807049,425936,146.0
1692829348.120529,428048,219.75
1692829349.1072817,430752,208.5
1692829349.3980484,431488,237.5
1692829350.5213244,434704,204.25
1692829352.7165284,440400,187.25
1692829353.3026538,442080,177.0
1692829353.702622,443216,196.25
1692829354.13568,444400,207.5
1692829358.313853,454752,219.5
1692829359.0854425,456928,120.75
1692829359.6397264,458464,149.75
1692829360.9893277,461744,183.0
1692829361.541771,463280,208.25
1692829362.834176,466880,144.25
1692829363.793414,469456,200.75
1692829364.9351833,472432,188.75
1692829365.6755018,474576,250.0
1692829366.9465435,478112,181.60000610351562
1692829369.2737231,484464,209.0
1692829369.922664,486224,273.0
1692829370.4857213,487760,197.25
1692829371.2384305,489824,195.8000030517578
1692829373.3290856,495200,226.25
1692829373.998168,497136,248.25
1692829374.8619158,499456,219.75
1692829376.08382,502752,232.5
1692829376.6033564,504272,224.5
1692829376.8169408,504832,168.5
1692829377.595591,506768,143.5
1692829379.6508813,512224,192.0
1692829380.5939853,514704,204.25
1692829381.1331997,516320,267.0
1692829381.4308796,517120,210.5
1692829383.642554,523056,178.3333282470703
1692829386.299888,528848,241.5
1692829388.1735337,530576,248.75
1692829388.9609637,532432,259.0
1692829389.9349496,534288,289.75
1692829390.7167761,535392,243.25
1692829391.1442938,536384,233.5
1692829391.682677,537648,273.5
1692829395.4630368,545440,195.75
1692829397.1990445,549360,200.75
1692829397.688712,550256,200.75
1692829402.6544476,560608,137.75
