Wall time,Step,Value
1692829192.5671377,19264,1.25
1692829193.6415055,24080,2.5
1692829198.0935242,43344,5.333333492279053
1692829200.7731001,52976,0.0
1692829200.8287117,53136,0.0
1692829205.4035814,62608,6.153846263885498
1692829205.4656532,62768,100.0
1692829207.0315351,67424,0.0
1692829208.4898694,72240,0.0
1692829208.5535939,72400,0.0
1692829211.5678017,81872,0.0
1692829211.616048,82032,0.0
1692829216.272594,96480,0.0
1692829220.4147115,105952,0.0
1692829220.4692113,106112,0.0
1692829222.1112976,110768,0.0
1692829223.755762,115584,0.0
1692829229.0633783,130032,8.88888931274414
1692829229.1316142,130192,4.0
1692829229.375641,130672,0.0
1692829230.795256,135008,35.0
1692829232.6189184,139904,6.666666507720947
1692829234.3073359,144720,0.0
1692829236.120662,149536,0.0
1692829236.6589184,150816,0.0
1692829237.7938986,154112,14.285714149475098
1692829237.8737595,154192,140.0
1692829238.4263167,155632,166.6666717529297
1692829239.6351862,158928,8.571428298950195
1692829239.6652603,159008,0.0
1692829239.7780056,159168,0.0
1692829241.5070126,163744,0.0
1692829241.5379767,163824,0.0
1692829243.8793895,170080,0.0
1692829245.1055577,173456,0.0
1692829245.1659265,173616,0.0
1692829246.7920597,178192,8.571428298950195
1692829247.3154974,179712,0.0
1692829249.2639093,184528,26.66666603088379
1692829250.4877493,187824,0.0
1692829254.1291714,197696,20.0
1692829254.306626,198176,60.0
1692829255.83182,202592,310.0
1692829257.4876006,207088,20.0
1692829257.6382124,207488,0.0
1692829258.5620134,209488,126.66666412353516
1692829261.7261903,217760,0.0
1692829264.1868405,223936,0.0
1692829266.052219,228752,53.33333206176758
1692829267.2023625,231408,0.0
1692829267.5800328,232208,0.0
1692829269.8231416,236224,0.0
1692829269.9557908,236464,0.0
1692829270.409861,237024,36.0
1692829272.8010626,241840,0.0
1692829273.322607,243200,0.0
1692829276.8100605,251472,132.0
1692829278.9406946,255488,45.0
1692829279.193371,255728,110.0
1692829280.8859582,260384,356.0
1692829284.1708767,268560,25.0
1692829285.034309,270736,56.0
1692829285.3672705,271376,73.33333587646484
1692829286.6621473,274832,0.0
1692829287.1902351,276192,0.0
1692829290.5536225,284704,315.0
1692829290.7261376,285184,275.0
1692829290.962336,285824,510.0
1692829292.655619,290000,0.0
1692829292.8968747,290640,0.0
1692829293.6894197,292640,0.0
1692829294.3963752,294336,30.0
1692829295.0885205,295776,0.0
1692829296.1105268,297456,160.0
1692829297.386728,300592,0.0
1692829298.0434635,302272,53.33333206176758
1692829298.7485745,304048,0.0
1692829300.9283593,309104,0.0
1692829301.1736696,309744,0.0
1692829301.5452392,310624,90.0
1692829303.0184536,314560,0.0
1692829304.7789176,319376,125.0
1692829305.1111283,320256,0.0
1692829306.4424088,323552,0.0
1692829306.707334,324192,0.0
1692829307.0741875,325072,0.0
1692829307.5728195,326352,120.0
1692829308.7586334,329008,70.0
1692829309.6445794,331168,0.0
1692829310.694798,333824,0.0
1692829311.525977,335984,0.0
1692829312.8674169,338880,20.0
1692829313.4366283,340400,435.0
1692829315.2146423,344656,550.0
1692829315.6543787,345616,60.0
1692829316.2543573,347152,385.0
1692829316.6910338,348192,210.0
1692829317.9140098,351312,195.0
1692829318.400209,352608,330.0
1692829320.3713472,357424,0.0
1692829323.0978994,364880,0.0
1692829324.269451,367840,810.0
1692829324.841336,369296,320.0
1692829325.4373927,370736,466.6666564941406
1692829326.199491,372656,560.0
1692829326.7161076,374112,485.0
1692829327.5732598,376496,430.0
1692829327.944287,377472,0.0
1692829328.551581,378928,0.0
1692829329.1112916,380368,0.0
1692829332.04467,386144,240.0
1692829332.5215633,387440,490.0
1692829333.400033,389680,115.0
1692829335.2930377,394496,30.0
1692829335.643618,395456,0.0
1692829336.084689,396496,65.0
1692829337.6243021,400576,200.0
1692829341.3805335,410208,0.0
1692829341.809249,411424,0.0
1692829343.1376727,415024,75.0
1692829343.7569277,416640,0.0
1692829344.9944634,419840,145.0
1692829345.5757596,421456,80.0
1692829347.0222342,425072,0.0
1692829347.380716,425936,75.0
1692829348.1205404,428048,0.0
1692829349.1072931,430752,0.0
1692829349.3980598,431488,0.0
1692829350.5213354,434704,0.0
1692829352.7165399,440400,20.0
1692829353.302665,442080,285.0
1692829353.702633,443216,115.0
1692829354.1356912,444400,250.0
1692829358.3138642,454752,0.0
1692829359.0854537,456928,70.0
1692829359.6397371,458464,200.0
1692829360.9893389,461744,0.0
1692829361.541782,463280,0.0
1692829362.8341873,466880,85.0
1692829363.7934253,469456,50.0
1692829364.935195,472432,65.0
1692829365.6755128,474576,350.0
1692829366.9465551,478112,296.0
1692829369.273734,484464,150.0
1692829369.9226751,486224,520.0
1692829370.4857328,487760,0.0
1692829371.2384417,489824,216.0
1692829373.3291008,495200,0.0
1692829373.9981797,497136,95.0
1692829374.8619268,499456,30.0
1692829376.0838313,502752,0.0
1692829376.6033676,504272,0.0
1692829376.816952,504832,0.0
1692829377.595602,506768,0.0
1692829379.6508925,512224,345.0
1692829380.5939965,514704,0.0
1692829381.1332111,516320,225.0
1692829381.430891,517120,0.0
1692829383.6425655,523056,413.3333435058594
1692829386.2998996,528848,25.0
1692829388.1735451,530576,175.0
1692829388.960975,532432,0.0
1692829389.934961,534288,690.0
1692829390.7167873,535392,480.0
1692829391.1443052,536384,395.0
1692829391.6826885,537648,470.0
1692829395.4630475,545440,170.0
1692829397.1990554,549360,160.0
1692829397.688723,550256,0.0
1692829402.6544592,560608,240.0
1692829404.8882303,565584,230.0
1692829405.80918,567264,0.0
1692829406.9366786,569536,20.0
1692829407.1717541,570096,0.0
1692829407.72038,571280,185.0
1692829409.6287928,575056,45.0
1692829410.8524258,577776,205.0
1692829412.083424,579872,45.0
1692829412.6373546,581072,0.0
1692829414.2580426,584528,35.0
1692829416.6611154,589408,105.0
1692829416.991317,589904,145.0
1692829418.8231432,594224,0.0
1692829419.1250255,594720,0.0
1692829419.7200205,595808,0.0
1692829420.8274798,598000,40.0
1692829422.8643637,602320,560.0
1692829424.2942846,605440,435.0
1692829425.0990334,607280,365.0
1692829426.53357,610384,25.0
1692829427.1396925,612096,390.0
1692829429.332811,616912,155.0
1692829430.117231,618800,115.0
1692829432.1430001,623616,0.0
1692829432.5182889,624384,0.0
1692829432.7416267,624960,105.0
1692829433.3961906,626544,120.0
1692829434.1526213,628432,0.0
1692829434.4794018,629232,190.0
1692829434.7597995,629776,240.0
1692829436.2866232,633248,255.0
1692829436.6213822,634048,0.0
1692829436.861405,634592,0.0
1692829437.523621,636176,0.0
1692829440.1013157,640992,130.0
1692829441.023786,643200,30.0
1692829441.2057004,643696,235.0
1692829441.5108132,644480,260.0
1692829442.1700673,645808,0.0
1692829443.2485065,648512,0.0
1692829444.182556,650624,0.0
1692829445.2671397,653328,130.0
1692829445.5641592,654112,125.0
1692829447.271406,658144,0.0
1692829447.658684,658928,0.0
1692829448.2277224,660416,0.0
1692829449.3350997,662960,0.0
1692829450.3754885,665232,0.0
1692829452.4873044,670048,0.0
1692829453.4254825,672096,0.0
1692829454.55721,674864,0.0
1692829455.4231079,676912,0.0
1692829455.6347172,677408,0.0
1692829455.9960563,678192,0.0
1692829456.6590161,679680,0.0
1692829457.5870636,681728,0.0
1692829457.8029037,682224,190.0
1692829458.7333477,684496,0.0
1692829459.679449,686544,0.0
1692829459.9737825,687312,105.0
1692829460.787991,688928,0.0
1692829461.8686078,691680,455.0
1692829463.545502,695504,585.0
1692829465.8793287,700576,0.0
1692829467.1309323,703760,0.0
1692829467.877199,705392,0.0
1692829468.2101521,706256,0.0
1692829470.001132,710208,168.0
1692829471.3219774,713408,180.0
1692829472.0149155,715024,525.0
1692829472.346834,715920,0.0
1692829472.6977153,716816,150.0
1692829473.6837428,719344,60.0
1692829474.2300413,720736,0.0
1692829475.630156,724464,1210.0
1692829476.1289816,725552,0.0
1692829476.4172132,726224,185.0
1692829476.851523,726960,0.0
1692829478.64144,731040,0.0
1692829482.2860477,740000,0.0
1692829483.7314656,743728,0.0
1692829484.2560256,744816,50.0
1692829484.8493533,746224,0.0
1692829485.8525598,748736,0.0
1692829486.2357316,749632,100.0
1692829486.535807,750304,430.0
1692829486.866213,751040,5.0
1692829488.2187722,754448,0.0
1692829488.621996,755344,0.0
1692829488.8323493,755856,225.0
1692829490.240061,759264,0.0
1692829490.6592453,760352,0.0
1692829492.1121058,764080,35.0
1692829492.8015423,765616,0.0
1692829494.9591157,768896,165.0
1692829495.406246,769984,10.0
1692829495.656582,770432,0.0
1692829499.0840397,778528,0.0
1692829499.5176113,779712,0.0
1692829500.3382416,781456,110.0
1692829502.2435157,786272,190.0
1692829503.4450083,789344,390.0
1692829504.7722661,792400,25.0
1692829506.16984,795904,725.0
1692829508.474012,801696,190.0
1692829510.4898465,806720,635.0
1692829510.7661612,807392,0.0
1692829511.0607753,808096,0.0
1692829512.3383985,811536,240.0
1692829512.9272704,812912,0.0
1692829513.66482,814784,425.0
