Wall time,Step,Value
1692829192.5685508,19264,4465.0
1692829193.6430311,24080,4468.0
1692829198.0946717,43344,4404.0
1692829200.7744865,52976,4231.0
1692829200.828624,53136,4225.0
1692829205.4046733,62608,3650.0
1692829205.465593,62768,3646.0
1692829207.0326245,67424,3590.0
1692829208.4909387,72240,3569.0
1692829208.553532,72400,3566.0
1692829211.5688913,81872,3511.0
1692829211.6159887,82032,3511.0
1692829216.2725103,96480,3443.0
1692829220.4159145,105952,3294.0
1692829220.4691503,106112,3293.0
1692829222.1123724,110768,3271.0
1692829223.757342,115584,3255.0
1692829229.0641277,130032,3186.0
1692829229.1315532,130192,3184.0
1692829229.3755789,130672,3177.0
1692829230.7951965,135008,3173.0
1692829232.6188586,139904,3153.0
1692829234.3072429,144720,3142.0
1692829236.1206005,149536,3124.0
1692829236.6588557,150816,3115.0
1692829237.7938392,154112,3110.0
1692829237.8737004,154192,3107.0
1692829238.4262547,155632,3101.0
1692829239.6351242,158928,3093.0
1692829239.6652007,159008,3092.0
1692829239.777946,159168,3089.0
1692829241.506951,163744,3074.0
1692829241.5379157,163824,3074.0
1692829243.8793254,170080,3057.0
1692829245.1054974,173456,3051.0
1692829245.1658669,173616,3050.0
1692829246.7919862,178192,3044.0
1692829247.3154354,179712,3042.0
1692829249.26385,184528,3024.0
1692829250.4876902,187824,3018.0
1692829254.129112,197696,3001.0
1692829254.3065674,198176,3000.0
1692829255.8317606,202592,2997.0
1692829257.4875407,207088,2991.0
1692829257.638152,207488,2990.0
1692829258.561952,209488,2979.0
1692829261.7261305,217760,2963.0
1692829264.1867821,223936,2949.0
1692829266.05216,228752,2940.0
1692829267.202304,231408,2931.0
1692829267.579852,232208,2927.0
1692829269.8230767,236224,2896.0
1692829269.9557314,236464,2894.0
1692829270.4098024,237024,2885.0
1692829272.801005,241840,2860.0
1692829273.3225484,243200,2858.0
1692829276.8100007,251472,2839.0
1692829278.9406357,255488,2817.0
1692829279.1933103,255728,2812.0
1692829280.8858984,260384,2810.0
1692829284.170818,268560,2799.0
1692829285.0342484,270736,2797.0
1692829285.3672116,271376,2794.0
1692829286.6620722,274832,2792.0
1692829287.190177,276192,2791.0
1692829290.5535638,284704,2783.0
1692829290.7260768,285184,2783.0
1692829290.9622784,285824,2782.0
1692829292.65556,290000,2777.0
1692829292.8968172,290640,2777.0
1692829293.68936,292640,2775.0
1692829294.3963158,294336,2773.0
1692829295.0884593,295776,2768.0
1692829296.1104674,297456,2757.0
1692829297.3866668,300592,2754.0
1692829298.0434046,302272,2753.0
1692829298.7485147,304048,2751.0
1692829300.9283016,309104,2743.0
1692829301.1736097,309744,2743.0
1692829301.5451798,310624,2741.0
1692829303.0183916,314560,2740.0
1692829304.7788577,319376,2740.0
1692829305.1110692,320256,2740.0
1692829306.4423206,323552,2737.0
1692829306.707273,324192,2736.0
1692829307.0741284,325072,2735.0
1692829307.5727608,326352,2735.0
1692829308.7585752,329008,2730.0
1692829309.6445193,331168,2728.0
1692829310.6947393,333824,2726.0
1692829311.5259163,335984,2725.0
1692829312.8673582,338880,2719.0
1692829313.4365654,340400,2719.0
1692829315.2145822,344656,2714.0
1692829315.654321,345616,2712.0
1692829316.2542984,347152,2712.0
1692829316.6909742,348192,2711.0
1692829317.9139502,351312,2709.0
1692829318.400149,352608,2709.0
1692829320.3712895,357424,2705.0
1692829323.0978396,364880,2705.0
1692829324.2693913,367840,2704.0
1692829324.8412757,369296,2703.0
1692829325.4373336,370736,2702.0
1692829326.199431,372656,2701.0
1692829326.71605,374112,2701.0
1692829327.5731995,376496,2702.0
1692829327.9442267,377472,2702.0
1692829328.5514874,378928,2700.0
1692829329.1112332,380368,2700.0
1692829332.044612,386144,2685.0
1692829332.5215032,387440,2685.0
1692829333.3999732,389680,2684.0
1692829335.2929792,394496,2682.0
1692829335.6435587,395456,2683.0
1692829336.08463,396496,2682.0
1692829337.6242437,400576,2681.0
1692829341.3804758,410208,2678.0
1692829341.8091674,411424,2679.0
1692829343.1376138,415024,2679.0
1692829343.7568684,416640,2679.0
1692829344.994402,419840,2678.0
1692829345.5756984,421456,2678.0
1692829347.0221741,425072,2677.0
1692829347.3806577,425936,2676.0
1692829348.1204805,428048,2677.0
1692829349.1072319,430752,2677.0
1692829349.3979995,431488,2677.0
1692829350.5212765,434704,2678.0
1692829352.7164803,440400,2677.0
1692829353.3026044,442080,2678.0
1692829353.7025752,443216,2678.0
1692829354.1356313,444400,2679.0
1692829358.3138046,454752,2674.0
1692829359.085395,456928,2674.0
1692829359.6396797,458464,2675.0
1692829360.98928,461744,2673.0
1692829361.5417228,463280,2673.0
1692829362.8341286,466880,2674.0
1692829363.7933652,469456,2674.0
1692829364.9351358,472432,2673.0
1692829365.6754534,474576,2674.0
1692829366.946493,478112,2675.0
1692829369.2736754,484464,2676.0
1692829369.922616,486224,2676.0
1692829370.4856703,487760,2676.0
1692829371.2383826,489824,2676.0
1692829373.3290145,495200,2675.0
1692829373.9981046,497136,2676.0
1692829374.8618677,499456,2676.0
1692829376.0837722,502752,2676.0
1692829376.603309,504272,2677.0
1692829376.8168933,504832,2677.0
