Wall time,Step,Value
1692829192.5671494,19264,0.0
1692829193.6415174,24080,0.0
1692829198.093536,43344,0.0
1692829200.773111,52976,0.0
1692829200.8287232,53136,0.0
1692829205.403593,62608,0.0
1692829205.4656646,62768,6.666666507720947
1692829207.0315466,67424,0.0
1692829208.4898808,72240,0.0
1692829208.5536056,72400,0.0
1692829211.567813,81872,0.0
1692829211.6160595,82032,0.0
1692829216.2726054,96480,0.0
1692829220.414723,105952,0.0
1692829220.469223,106112,0.0
1692829222.1113093,110768,0.0
1692829223.7557738,115584,0.0
1692829229.0633898,130032,0.0
1692829229.1316257,130192,1.0
1692829229.3756526,130672,0.0
1692829230.795267,135008,0.0
1692829232.6189299,139904,0.8333333134651184
1692829234.3073478,144720,0.0
1692829236.1206734,149536,0.0
1692829236.65893,150816,0.0
1692829237.7939095,154112,0.0
1692829237.8737705,154192,0.0
1692829238.4263287,155632,21.66666603088379
1692829239.6351974,158928,0.0
1692829239.6652715,159008,0.0
1692829239.7780168,159168,0.0
1692829241.507024,163744,0.0
1692829241.5379882,163824,0.0
1692829243.8794014,170080,0.0
1692829245.1055694,173456,0.0
1692829245.1659377,173616,0.0
1692829246.7920718,178192,0.0
1692829247.3155093,179712,0.0
1692829249.2639203,184528,0.0
1692829250.4877603,187824,0.0
1692829254.1291828,197696,0.0
1692829254.306637,198176,6.666666507720947
1692829255.8318312,202592,0.0
1692829257.487612,207088,0.0
1692829257.6382236,207488,0.0
1692829258.562025,209488,8.333333015441895
1692829261.7262013,217760,0.0
1692829264.186851,223936,0.0
1692829266.0522301,228752,0.0
1692829267.2023733,231408,0.0
1692829267.5800483,232208,0.0
1692829269.823154,236224,0.0
1692829269.9558022,236464,0.0
1692829270.4098725,237024,0.0
1692829272.8010733,241840,0.0
1692829273.322618,243200,0.0
1692829276.810072,251472,0.0
1692829278.9407055,255488,0.0
1692829279.1933825,255728,5.0
1692829280.8859694,260384,0.0
1692829284.1708877,268560,6.25
1692829285.0343199,270736,0.0
1692829285.3672812,271376,0.0
1692829286.6621666,274832,0.0
1692829287.1902456,276192,0.0
1692829290.5536337,284704,6.25
1692829290.7261486,285184,6.25
1692829290.9623468,285824,11.25
1692829292.65563,290000,0.0
1692829292.8968854,290640,0.0
1692829293.689431,292640,0.0
1692829294.3963864,294336,0.0
1692829295.0885317,295776,0.0
1692829296.110538,297456,40.0
1692829297.3867395,300592,0.0
1692829298.0434747,302272,0.0
1692829298.7485855,304048,0.0
1692829300.92837,309104,0.0
1692829301.1736808,309744,0.0
1692829301.54525,310624,17.5
1692829303.0184653,314560,0.0
1692829304.778929,319376,0.0
1692829305.1111393,320256,0.0
1692829306.4424202,323552,0.0
1692829306.7073455,324192,0.0
1692829307.0741985,325072,0.0
1692829307.5728304,326352,0.0
1692829308.7586446,329008,0.0
1692829309.6445906,331168,0.0
1692829310.6948092,333824,0.0
1692829311.5259883,335984,0.0
1692829312.8674278,338880,0.0
1692829313.4366398,340400,8.75
1692829315.2146533,344656,12.5
1692829315.6543896,345616,0.0
1692829316.2543685,347152,78.75
1692829316.691045,348192,0.0
1692829317.914021,351312,0.0
1692829318.4002202,352608,40.0
1692829320.3713584,357424,0.0
1692829323.097911,364880,0.0
1692829324.2694623,367840,112.5
1692829324.8413477,369296,44.0
1692829325.437404,370736,73.33333587646484
1692829326.1995022,372656,31.25
1692829326.7161183,374112,7.5
1692829327.5732713,376496,0.0
1692829327.9442985,377472,0.0
1692829328.551592,378928,0.0
1692829329.1113024,380368,0.0
1692829332.044681,386144,0.0
1692829332.5215745,387440,33.75
1692829333.4000442,389680,8.75
1692829335.2930489,394496,0.0
1692829335.6436293,395456,0.0
1692829336.0846999,396496,0.0
1692829337.624313,400576,13.75
1692829341.3805444,410208,0.0
1692829341.8092623,411424,0.0
1692829343.1376834,415024,0.0
1692829343.7569387,416640,0.0
1692829344.9944746,419840,36.25
1692829345.575771,421456,13.75
1692829347.0222454,425072,0.0
1692829347.3807273,425936,18.75
1692829348.1205513,428048,0.0
1692829349.1073048,430752,0.0
1692829349.3980708,431488,0.0
1692829350.521346,434704,0.0
1692829352.716551,440400,0.0
1692829353.3026762,442080,10.0
1692829353.7026436,443216,28.75
1692829354.1357024,444400,51.25
1692829358.3138754,454752,0.0
1692829359.0854647,456928,0.0
1692829359.6397479,458464,0.0
1692829360.9893498,461744,0.0
1692829361.5417933,463280,0.0
1692829362.8341982,466880,20.0
1692829363.7934368,469456,12.5
1692829364.935206,472432,15.0
1692829365.6755238,474576,85.0
1692829366.9465666,478112,13.0
1692829369.2737453,484464,37.5
1692829369.9226866,486224,117.5
1692829370.4857442,487760,0.0
1692829371.2384527,489824,48.0
1692829373.329113,495200,0.0
1692829373.9981914,497136,23.75
1692829374.861938,499456,0.0
1692829376.0838423,502752,0.0
1692829376.6033788,504272,0.0
1692829376.8169634,504832,0.0
1692829377.5956128,506768,0.0
1692829379.6509035,512224,80.0
1692829380.5940075,514704,0.0
1692829381.1332223,516320,56.25
1692829381.430902,517120,0.0
1692829383.6425767,523056,98.33333587646484
1692829386.2999113,528848,6.25
1692829388.1735566,530576,43.75
1692829388.9609857,532432,0.0
1692829389.9349725,534288,167.5
1692829390.7167988,535392,108.75
1692829391.1443167,536384,98.75
1692829391.6826997,537648,107.5
1692829395.4630582,545440,42.5
1692829397.1990662,549360,0.0
1692829397.688734,550256,0.0
1692829402.6544707,560608,20.0
1692829404.8882418,565584,57.5
1692829405.8091912,567264,0.0
1692829406.9366896,569536,5.0
1692829407.1717656,570096,0.0
1692829407.7203908,571280,46.25
