Wall time,Step,Value
1693497349.3867898,4000,0.625
1693497352.9848683,8000,0.3125
1693497356.5515568,12000,0.0
1693497360.3918293,16000,0.15625
1693497363.9920962,20000,0.0
1693497367.532895,24000,0.0
1693497371.037793,28000,0.0
1693497374.6767738,32000,0.0
1693497378.280881,36000,0.0
1693497381.8275828,40000,0.0
1693497385.5587275,44000,0.0
1693497389.178706,48000,0.0
1693497392.7022805,52000,0.0
1693497396.2016964,56000,0.0
1693497399.740861,60000,0.0
1693497403.3578415,64000,0.0
1693497407.1604018,68000,0.0
1693497410.692252,72000,0.0
1693497414.198545,76000,0.0
1693497417.821825,80000,0.0
1693497421.3644176,84000,0.0
1693497424.8947427,88000,0.0
1693497428.3845649,92000,0.0
1693497431.989111,96000,0.0
1693497435.503643,100000,0.0
1693497439.0141954,104000,0.0
1693497442.5460196,108000,0.0
1693497446.22441,112000,0.0
1693497449.758122,116000,0.0
1693497453.2366834,120000,0.0
1693497456.7746696,124000,0.0
1693497460.3465247,128000,0.0
1693497463.8049817,132000,0.0
1693497467.5706797,136000,0.0
1693497471.1155918,140000,0.0
1693497474.7927866,144000,0.0
1693497478.2542362,148000,0.0
1693497481.7485838,152000,0.0
1693497485.2575135,156000,0.0
1693497488.8583264,160000,0.15625
1693497492.318389,164000,0.0
1693497495.8610861,168000,0.3125
1693497499.3524241,172000,0.625
1693497503.044904,176000,3.4375
1693497506.6125069,180000,2.1875
1693497510.1315854,184000,2.5
1693497513.6428988,188000,5.0
1693497517.2486677,192000,5.46875
1693497520.693716,196000,2.5
1693497524.1149514,200000,2.1875
1693497527.910732,204000,13.125
1693497531.5112166,208000,9.375
1693497534.9882138,212000,14.0625
1693497538.432682,216000,8.75
1693497542.0364158,220000,17.5
1693497545.7059155,224000,7.03125
1693497549.1427438,228000,4.6875
1693497552.6397872,232000,1.5625
1693497556.2364862,236000,9.0625
1693497559.810591,240000,24.375
1693497563.3991613,244000,28.125
1693497566.8748074,248000,26.5625
1693497570.5529282,252000,15.3125
1693497574.289919,256000,19.0625
1693497577.7251208,260000,31.5625
1693497581.2202437,264000,3.125
1693497584.9437766,268000,22.8125
1693497588.537411,272000,15.15625
1693497592.0135956,276000,21.5625
1693497595.5662556,280000,29.375
1693497599.0434072,284000,15.3125
1693497603.198702,288000,38.90625
1693497606.9168236,292000,14.375
1693497610.7782097,296000,28.4375
1693497614.2454622,300000,21.5625
1693497617.9002483,304000,20.15625
1693497621.4024909,308000,21.25
1693497624.9163628,312000,29.0625
1693497628.4019296,316000,18.75
1693497632.069628,320000,18.75
1693497635.5323153,324000,27.8125
1693497639.104815,328000,11.5625
1693497642.6162415,332000,17.8125
1693497646.3880415,336000,17.03125
1693497649.9642956,340000,39.6875
1693497653.7286332,344000,36.25
1693497657.4678762,348000,29.375
1693497661.9038434,352000,32.5
1693497665.5777836,356000,28.125
1693497669.48832,360000,23.75
1693497673.0894516,364000,37.1875
1693497677.0777001,368000,25.46875
1693497681.4484754,372000,30.0
1693497685.1781442,376000,19.375
1693497689.0966597,380000,30.9375
1693497695.3099535,384000,37.1875
1693497699.3869712,388000,16.875
1693497703.310327,392000,23.4375
1693497708.0238802,396000,14.6875
1693497712.9389489,400000,29.375
1693497717.4691849,404000,34.0625
1693497722.0936272,408000,21.5625
1693497726.6867692,412000,7.1875
1693497731.3771925,416000,41.09375
1693497735.7601151,420000,45.625
1693497740.160828,424000,39.6875
1693497744.5946963,428000,42.5
1693497748.796632,432000,30.78125
1693497752.3079097,436000,55.3125
1693497755.906203,440000,60.3125
1693497759.3944635,444000,45.0
1693497763.0124984,448000,36.5625
1693497766.7175057,452000,26.5625
1693497770.2373486,456000,31.5625
1693497773.8304021,460000,21.5625
1693497777.4849656,464000,24.0625
1693497781.0168257,468000,44.0625
1693497784.5036323,472000,63.125
1693497788.001803,476000,30.9375
1693497791.6109319,480000,39.53125
1693497795.21918,484000,25.9375
1693497798.722128,488000,12.5
1693497802.2847693,492000,32.8125
1693497805.9654682,496000,67.8125
1693497809.45768,500000,53.4375
1693497812.9858222,504000,52.8125
1693497816.5341659,508000,58.75
1693497820.1436992,512000,63.75
1693497823.5885854,516000,17.1875
1693497827.211432,520000,43.4375
1693497830.8052611,524000,35.9375
1693497834.5290372,528000,56.09375
1693497838.085716,532000,49.6875
1693497841.7051504,536000,52.1875
1693497845.2529645,540000,34.375
1693497848.9242067,544000,65.46875
1693497852.4565442,548000,31.25
1693497855.970843,552000,46.5625
1693497859.4321299,556000,43.75
1693497863.0802255,560000,44.375
1693497866.591337,564000,16.5625
1693497870.119258,568000,62.5
1693497873.746154,572000,52.5
1693497877.38808,576000,58.75
1693497881.0422661,580000,17.8125
1693497884.5830553,584000,45.9375
1693497888.1828263,588000,56.875
1693497891.825099,592000,32.1875
1693497895.4108639,596000,45.3125
1693497898.9496577,600000,36.5625
1693497902.4586036,604000,38.4375
1693497906.1137702,608000,50.46875
1693497909.6573153,612000,61.25
1693497913.2122748,616000,61.5625
1693497916.742198,620000,57.5
1693497920.441611,624000,45.9375
1693497924.0293124,628000,26.5625
1693497927.593959,632000,66.5625
1693497931.192515,636000,60.9375
1693497934.8185177,640000,70.46875
1693497938.317816,644000,60.9375
1693497941.815729,648000,74.6875
1693497945.3542976,652000,85.3125
1693497949.1300118,656000,56.5625
1693497952.6537323,660000,36.5625
1693497956.1884167,664000,71.5625
1693497959.7429254,668000,41.875
1693497963.4096072,672000,87.5
1693497966.9798174,676000,31.25
1693497970.6026049,680000,38.125
1693497974.1364584,684000,52.1875
1693497977.8673394,688000,55.3125
1693497981.385574,692000,49.375
1693497984.9088235,696000,46.875
1693497989.5988874,700000,56.25
1693498003.2793255,704000,35.9375
1693498016.785308,708000,45.3125
1693498028.3792984,712000,28.4375
1693498034.2232847,716000,58.125
1693498041.6596506,720000,54.84375
1693498051.0324225,724000,53.125
1693498059.3648536,728000,8.125
1693498067.1645536,732000,52.1875
1693498074.457708,736000,106.25
1693498081.9817853,740000,76.5625
1693498087.9164538,744000,10.0
1693498091.7434921,748000,67.5
1693498095.5193589,752000,33.59375
1693498099.0235639,756000,51.25
1693498102.5390043,760000,63.125
1693498106.0679777,764000,79.0625
1693498112.4454358,768000,56.25
1693498115.9989839,772000,70.3125
