Wall time,Step,Value
1692822384.6493359,32768,3174.0
1692822400.9943082,65536,2457.0
1692822412.9678662,98304,2543.0
1692822424.8105729,131072,2596.0
1692822439.3488903,163840,2519.0
1692822451.7472272,196608,2539.0
1692822465.829052,229376,2506.0
1692822478.807733,262144,2508.0
1692822491.5665438,294912,2515.0
1692822504.0516965,327680,2525.0
1692822516.3879921,360448,2537.0
1692822530.5607579,393216,2516.0
1692822543.2575588,425984,2521.0
1692822557.7248342,458752,2501.0
1692822569.9001267,491520,2513.0
1692822582.119171,524288,2523.0
1692822594.3964937,557056,2531.0
1692822605.5067456,589824,2551.0
1692822616.5619366,622592,2570.0
1692822627.4966598,655360,2588.0
1692822638.1287348,688128,2608.0
1692822648.8612227,720896,2625.0
1692822659.64133,753664,2641.0
1692822672.357187,786432,2638.0
1692822683.0924866,819200,2653.0
1692822693.921094,851968,2665.0
1692822704.7776642,884736,2677.0
1692822717.0627592,917504,2676.0
1692822728.3379538,950272,2684.0
1692822740.3819518,983040,2685.0
1692822751.9265506,1015808,2690.0
1692822763.411878,1048576,2694.0
1692822774.7218552,1081344,2700.0
1692822785.822037,1114112,2707.0
1692822797.0073392,1146880,2713.0
1692822810.4528918,1179648,2704.0
1692822821.223401,1212416,2712.0
1692822831.9608188,1245184,2720.0
1692822843.0510986,1277952,2726.0
1692822856.130491,1310720,2720.0
1692822869.1641335,1343488,2714.0
1692822881.3722844,1376256,2714.0
1692822893.505172,1409024,2713.0
1692822906.4083204,1441792,2709.0
1692822919.2407422,1474560,2706.0
1692822931.1520336,1507328,2706.0
1692822944.9849157,1540096,2698.0
1692822956.3350887,1572864,2702.0
1692822967.7021298,1605632,2705.0
1692822979.0784872,1638400,2709.0
1692822991.0185826,1671168,2709.0
1692823003.4368846,1703936,2708.0
1692823015.5668216,1736704,2708.0
1692823027.8694618,1769472,2707.0
1692823040.8802621,1802240,2703.0
1692823052.1678832,1835008,2707.0
1692823063.2862465,1867776,2711.0
1692823075.613919,1900544,2710.0
1692823089.4915333,1933312,2703.0
1692823100.535781,1966080,2707.0
1692823111.4158583,1998848,2711.0
1692823122.063232,2031616,2717.0
1692823132.9163704,2064384,2721.0
1692823143.9643688,2097152,2724.0
1692823155.0196724,2129920,2728.0
1692823165.6907418,2162688,2732.0
1692823176.2810013,2195456,2737.0
1692823186.8535874,2228224,2742.0
1692823197.6243038,2260992,2746.0
1692823208.5197904,2293760,2749.0
1692823221.764029,2326528,2745.0
1692823232.3718402,2359296,2749.0
1692823245.3335693,2392064,2746.0
1692823257.1233737,2424832,2746.0
1692823268.345127,2457600,2748.0
1692823279.40454,2490368,2751.0
1692823290.537943,2523136,2753.0
1692823301.3686745,2555904,2757.0
1692823312.2617054,2588672,2759.0
1692823323.1533232,2621440,2762.0
1692823334.212012,2654208,2765.0
1692823345.056024,2686976,2767.0
1692823359.9841,2719744,2759.0
1692823373.0273616,2752512,2756.0
1692823385.4800026,2785280,2754.0
1692823397.9810183,2818048,2752.0
1692823410.8031888,2850816,2750.0
1692823422.824933,2883584,2750.0
1692823434.802935,2916352,2750.0
1692823446.8511088,2949120,2749.0
1692823461.0669897,2981888,2743.0
1692823473.5748863,3014656,2742.0
