Wall time,Step,Value
1692822384.6493793,32768,1.0416666269302368
1692822400.994986,65536,3.0357143878936768
1692822412.9685066,98304,3.392857074737549
1692822424.8112729,131072,6.964285850524902
1692822439.3495402,163840,5.8715596199035645
1692822451.747889,196608,13.13131332397461
1692822465.829702,229376,19.464284896850586
1692822478.808388,262144,30.35714340209961
1692822491.5671566,294912,52.2935791015625
1692822504.0523682,327680,48.28282928466797
1692822516.3886235,360448,55.17856979370117
1692822527.302047,384000,159.73333740234375
1692822530.5608006,393216,131.03448486328125
1692822543.2582574,425984,106.7961196899414
1692822557.7254815,458752,209.375
1692822569.900769,491520,749.729736328125
1692822582.119952,524288,827.941162109375
1692822594.3971186,557056,1020.2777709960938
1692822605.5073776,589824,1009.0140991210938
1692822616.5625746,622592,898.591552734375
1692822627.4972892,655360,1553.0909423828125
1692822638.129392,688128,1842.4561767578125
1692822648.861856,720896,1524.0625
1692822659.641991,753664,1604.9180908203125
1692822666.6994336,768000,1714.4000244140625
1692822672.3572283,786432,1210.0
1692822683.093171,819200,1441.9354248046875
1692822693.922013,851968,2540.408203125
1692822704.7783377,884736,2651.199951171875
1692822717.0634875,917504,2820.727294921875
1692822728.338582,950272,2639.62255859375
1692822740.3825836,983040,4408.2607421875
1692822751.927191,1015808,4174.54541015625
1692822763.412525,1048576,6225.12841796875
1692822774.7225277,1081344,6387.6923828125
1692822785.8226254,1114112,7682.22216796875
1692822797.0079818,1146880,7914.5947265625
1692822802.0855792,1152000,6220.0
1692822810.4529333,1179648,7451.875
1692822821.2240808,1212416,8240.0
1692822831.961501,1245184,9009.412109375
1692822843.0517929,1277952,8815.8828125
1692822856.131287,1310720,10392.5
1692822869.1648748,1343488,10020.0
1692822881.372942,1376256,11232.94140625
1692822893.5058253,1409024,11452.7275390625
1692822906.408958,1441792,10861.142578125
1692822919.2413845,1474560,12050.0
1692822931.1526704,1507328,12678.8232421875
1692822943.6586895,1536000,11375.3330078125
1692822944.9849582,1540096,10893.3330078125
1692822956.3357828,1572864,11465.142578125
1692822967.7028656,1605632,11554.5458984375
1692822979.0791218,1638400,12685.4541015625
1692822991.0193694,1671168,12747.87890625
1692823003.4375763,1703936,13066.25
1692823015.567471,1736704,12955.1513671875
1692823027.8702602,1769472,13218.181640625
1692823040.8809276,1802240,12938.181640625
1692823052.1685133,1835008,13536.470703125
1692823063.2870016,1867776,13544.375
1692823075.6145675,1900544,13683.63671875
1692823085.4168477,1920000,13920.0
1692823089.491576,1933312,11721.3330078125
1692823100.536401,1966080,12875.4287109375
1692823111.4164991,1998848,13851.25
1692823122.0638943,2031616,13907.87890625
1692823132.9170191,2064384,13992.5
1692823143.9651682,2097152,13948.75
1692823155.0203428,2129920,12641.1767578125
1692823165.6913786,2162688,14025.0
1692823176.2816422,2195456,14050.9091796875
1692823186.854233,2228224,13925.0
1692823197.6249409,2260992,14068.484375
1692823208.5204136,2293760,14145.625
1692823215.049105,2304000,14261.4287109375
1692823221.764069,2326528,14208.4208984375
1692823232.3724957,2359296,14218.125
1692823245.3342094,2392064,14158.181640625
1692823257.1240335,2424832,14297.5
1692823268.3457747,2457600,14205.2939453125
1692823279.405178,2490368,14215.1513671875
1692823290.5385776,2523136,13747.4287109375
1692823301.369386,2555904,14390.302734375
1692823312.2623563,2588672,14332.12109375
1692823323.153982,2621440,14332.94140625
1692823334.2127056,2654208,13920.6064453125
1692823345.056699,2686976,14375.625
1692823349.231572,2688000,14460.0
1692823359.984141,2719744,14384.375
1692823373.0280142,2752512,14306.25
1692823385.4810202,2785280,14314.375
1692823397.9816818,2818048,14241.2119140625
1692823410.8038428,2850816,14411.25
1692823422.8255675,2883584,13200.0
1692823434.8035736,2916352,14390.0
1692823446.851798,2949120,14384.375
1692823461.067669,2981888,14258.2353515625
1692823473.5755193,3014656,14331.25
