Wall time,Step,Value
1692860138.4819214,19264,269.1875
1692860139.5827742,24080,265.125
1692860161.9606633,52976,161.125
1692860283.2968404,72240,14.3125
1692860310.2822287,77056,57.8125
1692860393.215465,91504,40.9375
1692860420.736469,96320,16.25
1692860448.5366952,101136,83.75
1692860504.3599524,110768,4.25
1692860534.1544795,115584,9.0
1692860621.2718766,130032,53.875
1692860648.528136,134848,146.0625
1692860814.6036978,163744,151.875
1692860897.371238,178192,76.625
1692860924.61228,183008,77.0
1692860951.221703,187824,103.75
1692861007.1798718,197456,44.6875
1692861198.9469497,231168,107.4375
1692861226.2932606,235984,112.5625
1692861254.202857,240800,63.125
1692861308.6605544,250432,133.5625
1692861336.6541164,255248,148.6875
1692861392.1291275,264880,143.75
1692861473.803444,279328,68.25
1692861556.5706916,293776,147.125
1692861584.1439826,298592,78.0
1692861611.1594746,303408,76.25
1692861639.1204927,308224,101.3125
1692861693.8376594,317856,126.6875
1692861720.7763362,322672,58.5
1692861747.7832386,327488,54.0
1692861775.1022003,332304,56.5625
1692861829.8002279,341936,75.125
1692861856.982783,346752,189.875
1692862021.6573806,375648,87.4375
1692862077.3380725,385280,95.0625
1692862104.82013,390096,148.3125
1692862159.8606546,399728,154.1875
1692862241.6945531,414176,101.5625
1692862350.6425815,433440,163.4375
1692862377.8215325,438256,107.25
1692862625.8615801,481600,116.0
1692862653.4503267,486416,170.9375
1692862735.3074827,500864,226.3125
1692862800.6387641,512336,90.5
1692862809.6756835,513936,136.25
1692862827.7191327,517152,291.5
1692862892.2915673,528384,223.25
1692862938.7389748,536416,236.5
1692862977.9395404,543232,101.25
1692862983.6200552,544208,132.5
1692863006.179081,548048,246.0
1692863024.2714477,551264,218.75
1692863033.6864448,552864,157.25
1692863039.1058934,553840,75.0
1692863080.7175007,560896,119.0
1692863089.7438262,562496,42.5
1692863150.5215526,573104,190.5
1692863172.5917444,576944,186.75
1692863178.1181087,577920,91.25
1692863205.7617111,582736,48.5
1692863261.986933,592688,107.0
1692863284.501973,596608,230.0
1692863287.8879457,597184,93.28571319580078
1692863301.0122275,599424,88.0
1692863316.03292,602000,85.71428680419922
1692863356.5314887,609056,125.66666412353516
1692863370.6964705,611536,190.25
1692863371.1469197,611632,105.28571319580078
1692863397.6459134,616352,106.5
1692863398.0678375,616448,86.42857360839844
1692863399.940668,616768,71.0
1692863410.8968203,618688,118.33333587646484
1692863425.9440243,621264,218.2857208251953
1692863427.9670959,621584,223.0
1692863453.3294773,626080,96.57142639160156
1692863455.1143365,626400,59.0
1692863466.4173832,628320,66.33333587646484
1692863493.805667,633136,78.33333587646484
1692863507.6918323,635616,78.25
1692863508.0815053,635712,55.0
1692863535.1780326,640432,114.0
1692863562.79533,645248,263.75
1692863563.6592634,645344,274.28570556640625
1692863576.6400542,647584,230.0
1692863590.5026507,650064,171.75
1692863590.8671565,650160,207.0
1692863592.5737565,650480,195.0
1692863618.0684667,654880,127.0
1692863620.2487257,655296,300.0
1692863645.6188693,659696,261.0
1692863648.1749353,660112,214.0
1692863673.065333,664512,152.75
1692863676.2406068,665008,142.0
1692863686.4244573,666848,80.5
1692863700.7182171,669328,125.0
1692863703.5392818,669824,213.5
1692863713.396957,671584,210.0
1692863717.7699316,672384,125.0
1692863730.86718,674640,103.25
1692863741.0036108,676400,110.5999984741211
1692863768.5025923,681216,130.8000030517578
1692863811.4606206,688752,87.0
1692863823.5355709,690848,155.0
1692863830.67823,692128,156.6666717529297
1692863838.2995038,693568,169.25
1692863850.197818,695664,52.0
1692863857.2036147,696944,145.6666717529297
1692863872.6421227,699600,64.75
1692863883.865598,701520,95.0
1692863892.0261655,703040,113.0
1692863898.687655,704240,211.25
1692863933.8327932,710352,188.5
1692863943.560975,712112,253.25
1692863946.946246,712672,165.0
1692863974.4604585,717488,182.25
1692863981.6775932,718688,243.0
1692863989.017045,719984,223.5
1692864002.2279878,722304,207.75
1692864056.3191829,731936,131.5
1692864063.39107,733136,155.5
1692864083.9936862,736752,120.0
1692864098.1304781,739248,109.5
1692864111.3282828,741568,147.25
1692864125.564003,744064,120.0
1692864138.6608138,746384,116.25
1692864145.482435,747584,171.0
1692864163.5424712,750640,240.25
1692864174.9936616,752560,180.25
1692864185.4219913,754416,160.5
1692864197.3268619,756496,216.25
1692864230.0751958,762192,159.0
1692864240.5231352,764048,154.75
1692864246.6574354,765088,128.0
1692864252.8453455,766128,153.5
1692864303.786137,774720,158.25
1692864318.8496041,777360,177.75
1692864325.7503848,778576,188.5
1692864346.1792653,782176,181.5
1692864353.2617137,783392,134.75
1692864373.6134186,786992,162.0
1692864385.812212,789168,193.5
1692864392.0975032,790224,144.5
1692864416.1020114,794368,135.75
1692864429.5781505,796624,183.75
1692864472.870411,804176,192.75
1692864476.392111,804816,173.0
1692864479.49613,805376,300.0
1692864487.629035,806752,261.25
1692864527.8754354,813808,139.0
1692864531.6689792,814448,203.75
1692864542.9256775,816384,181.75
1692864562.359127,819824,129.0
1692864573.9382324,821840,155.5
1692864585.2973704,823824,143.25
1692864586.7873876,824080,201.75
1692864601.3482964,826656,133.0
1692864614.3745742,828896,111.75
1692864628.952294,831472,167.0
1692864640.1290407,833456,144.5
1692864641.6081522,833712,119.25
1692864669.522062,838528,167.0
1692864696.8326414,843344,134.75
1692864700.9705856,844064,117.75
1692864711.6437674,845920,124.25
1692864723.4615397,847904,117.0
1692864725.0055585,848160,147.5
1692864729.130809,848880,58.5
1692864739.9032001,850736,112.5
1692864780.1429331,857792,113.0
1692864806.381405,862352,119.25
1692864807.7924984,862608,110.75
1692864863.3609273,872240,162.0
1692864891.2751591,877056,262.25
1692864895.381648,877776,167.75
1692864905.7464268,879632,199.0
1692864917.4045897,881616,231.0
1692864918.89059,881872,244.0
1692864944.355342,886432,229.25
1692864950.0650282,887408,81.5
1692864972.003719,891248,85.5
1692864973.4481575,891504,69.0
1692864987.8728125,894080,59.25
1692865015.5749235,898896,173.0
1692865027.1016865,900880,201.75
1692865043.202241,903712,219.5
1692865054.2495801,905696,267.25
1692865055.8429906,905952,152.75
1692865059.9373248,906672,204.5
1692865083.4781387,910768,103.0
1692865109.9950385,915440,65.5
1692865112.6682527,915904,78.80000305175781
