Wall time,Step,Value
1692860138.4819448,19264,0.0
1692860139.5827975,24080,0.0
1692860161.9606857,52976,0.0
1692860283.296863,72240,0.0
1692860310.2822518,77056,0.0
1692860393.2155054,91504,0.0
1692860420.7364929,96320,0.0
1692860448.5367186,101136,0.0
1692860504.3599744,110768,0.0
1692860534.1545024,115584,0.0
1692860621.2718997,130032,0.0
1692860648.5281591,134848,0.0
1692860814.6037192,163744,0.0
1692860897.3712616,178192,0.0
1692860924.612302,183008,0.0
1692860951.221726,187824,0.0
1692861007.179894,197456,0.0
1692861198.9469721,231168,0.0
1692861226.2932844,235984,0.0
1692861254.20288,240800,0.0
1692861308.6605768,250432,0.0
1692861336.654138,255248,0.0
1692861392.1291497,264880,0.0
1692861473.8034663,279328,0.0
1692861556.5707147,293776,0.0
1692861584.144005,298592,0.0
1692861611.1594963,303408,0.0
1692861639.1205156,308224,0.0
1692861693.8376825,317856,0.0
1692861720.7763584,322672,0.0
1692861747.7832603,327488,0.0
1692861775.1022239,332304,0.0
1692861829.80025,341936,0.0
1692861856.982805,346752,0.0
1692862021.657402,375648,0.0
1692862077.3380952,385280,0.0
1692862104.8201523,390096,0.0
1692862159.860677,399728,0.0
1692862241.6945748,414176,0.0
1692862350.642604,433440,0.0
1692862377.821554,438256,0.0
1692862625.8616023,481600,0.0
1692862653.4503493,486416,0.0
1692862735.3075051,500864,0.0
1692862800.638787,512336,70.0
1692862809.6757057,513936,182.5
1692862827.7191548,517152,0.0
1692862892.2915893,528384,0.0
1692862938.7389965,536416,0.0
1692862977.9395626,543232,31.25
1692862983.6200776,544208,0.0
1692863006.179103,548048,0.0
1692863024.2714703,551264,0.0
1692863033.6864674,552864,0.0
1692863039.1059148,553840,0.0
1692863080.7175229,560896,0.0
1692863089.7438478,562496,0.0
1692863150.5215757,573104,0.0
1692863172.5917675,576944,0.0
1692863178.1181314,577920,0.0
1692863205.761733,582736,0.0
1692863261.986955,592688,0.0
1692863284.501995,596608,0.0
1692863287.8879685,597184,0.0
1692863301.01225,599424,0.0
1692863316.0329418,602000,0.0
1692863356.531511,609056,0.0
1692863370.6964948,611536,0.0
1692863371.1469424,611632,0.0
1692863397.6459367,616352,0.0
1692863398.0678596,616448,0.0
1692863399.9406946,616768,0.0
1692863410.8968427,618688,0.0
1692863425.9440458,621264,0.0
1692863427.9671185,621584,0.0
1692863453.3296223,626080,0.0
1692863455.1143582,626400,0.0
1692863466.4174047,628320,0.0
1692863493.8056886,633136,0.0
1692863507.6918554,635616,0.0
1692863508.0815277,635712,0.0
1692863535.1780546,640432,0.0
1692863562.795353,645248,0.0
1692863563.6592855,645344,0.0
1692863576.640076,647584,0.0
1692863590.5026727,650064,0.0
1692863590.8671777,650160,0.0
1692863592.5737789,650480,0.0
1692863618.0684896,654880,0.0
1692863620.2487483,655296,0.0
1692863645.6188915,659696,0.0
1692863648.1749582,660112,0.0
1692863673.0653558,664512,0.0
1692863676.2406292,665008,0.0
1692863686.4244792,666848,98.75
1692863700.7182403,669328,0.0
1692863703.5393045,669824,0.0
1692863713.396979,671584,22.5
1692863717.7699535,672384,57.5
1692863730.8672023,674640,0.0
1692863741.0036333,676400,0.0
1692863768.50263,681216,0.0
1692863811.460643,688752,0.0
1692863823.5355935,690848,0.0
1692863830.6782525,692128,0.0
1692863838.2995267,693568,0.0
1692863850.197841,695664,0.0
1692863857.2036364,696944,0.0
1692863872.6421456,699600,30.0
1692863883.8656201,701520,35.0
1692863892.0261884,703040,71.25
1692863898.687677,704240,48.75
1692863933.832816,710352,0.0
1692863943.5609968,712112,0.0
1692863946.946268,712672,0.0
1692863974.460481,717488,0.0
1692863981.677615,718688,0.0
1692863989.017067,719984,0.0
1692864002.2280107,722304,0.0
1692864056.3192048,731936,0.0
1692864063.3910918,733136,0.0
1692864083.9937086,736752,0.0
1692864098.1305,739248,0.0
1692864111.3283057,741568,0.0
1692864125.5640256,744064,0.0
1692864138.6608357,746384,0.0
1692864145.4824576,747584,0.0
1692864163.5424929,750640,17.5
1692864174.993684,752560,0.0
1692864185.4220135,754416,36.25
1692864197.326884,756496,0.0
1692864230.0752187,762192,0.0
1692864240.523157,764048,0.0
1692864246.6574574,765088,0.0
1692864252.8453681,766128,0.0
1692864303.7861598,774720,0.0
1692864318.8496263,777360,42.5
1692864325.7504177,778576,30.0
