Wall time,Step,Value
1692971980.3563352,4816,4756.0
1692971982.3098278,14448,4871.0
1692971983.2698174,19264,4906.0
1692971984.2736988,24080,4884.0
1692971987.3565676,38528,4808.0
1692971988.3279448,43344,4824.0
1692971988.350529,43424,4821.0
1692971989.2875817,48160,4843.0
1692972006.5200186,53056,1952.0
1692972033.2195377,57792,1072.0
1692972034.0596766,57872,1057.0
1692972061.287336,62608,764.0
1692972065.4210353,63408,736.0
1692972088.4168947,67424,618.0
1692972092.9440172,68224,600.0
1692972115.885539,72240,529.0
1692972120.725795,73040,516.0
1692972143.4105349,77056,469.0
1692972170.5788624,81872,428.0
1692972170.9972484,81952,427.0
1692972178.90353,83312,417.0
1692972198.122998,86688,396.0
1692972198.5430899,86768,395.0
1692972205.785503,88128,389.0
1692972225.250511,91504,372.0
1692972231.3271832,92384,366.0
1692972238.5647616,93424,360.0
1692972256.849111,96320,347.0
1692972261.8468888,97200,344.0
1692972270.6572418,98720,338.0
1692972284.5637128,101136,331.0
1692972285.6671011,101376,330.0
1692972290.9535985,102256,328.0
1692972311.5035715,105952,318.0
1692972313.7154922,106272,317.0
1692972339.0677109,110768,307.0
1692972340.9749434,111088,307.0
1692972347.2246985,112128,304.0
1692972359.4280837,114208,300.0
1692972367.5444727,115584,297.0
1692972369.3017778,115904,297.0
1692972375.9785373,116944,294.0
1692972387.5280924,119024,291.0
1692972395.635343,120400,289.0
1692972397.740837,120720,288.0
1692972415.6601722,123920,284.0
1692972423.3247588,125296,282.0
1692972431.000278,126656,280.0
1692972443.3152573,128816,277.0
1692972450.5142696,130112,276.0
1692972453.9857323,130752,275.0
1692972474.249682,134272,271.0
1692972479.2884014,135168,270.0
1692972483.7337325,135888,269.0
1692972485.8214107,136288,269.0
1692972506.9642615,139984,265.0
1692972511.18926,140704,264.0
1692972513.29822,141104,264.0
1692972530.0941179,143904,261.0
1692972538.6803138,145520,260.0
1692972541.064234,145920,259.0
1692972556.9045224,148720,257.0
1692972562.0765305,149616,256.0
1692972565.9062424,150336,256.0
1692972568.491266,150736,255.0
1692972587.5771303,154112,253.0
1692972589.6491275,154432,253.0
1692972594.5309362,155232,252.0
1692972602.1161795,156592,251.0
1692972615.4639347,158928,249.0
1692972617.2784986,159248,249.0
1692972622.0808046,160048,249.0
1692972629.352109,161408,248.0
1692972642.7885783,163744,246.0
1692972644.5901718,164064,246.0
1692972656.8947985,166224,245.0
1692972672.0091674,168944,243.0
1692972676.7511408,169680,243.0
1692972684.3182697,171040,242.0
1692972703.8061202,174496,240.0
1692972711.4411962,175856,240.0
1692972724.8609705,178192,239.0
1692972730.8125825,179312,238.0
1692972738.9662957,180672,237.0
1692972754.427811,183392,236.0
1692972758.8375661,184128,236.0
1692972766.817778,185488,235.0
1692972781.070579,187984,234.0
1692972783.6230855,188464,234.0
1692972788.4803553,189344,234.0
1692972794.7394345,190464,233.0
1692972813.2317872,193680,232.0
1692972817.0259833,194320,231.0
1692972825.0486252,195760,231.0
1692972835.613012,197616,230.0
1692972840.5985515,198496,230.0
1692972844.0287051,199136,230.0
1692972852.254108,200576,229.0
1692972863.8192875,202592,229.0
1692972869.36749,203632,228.0
1692972871.6990423,204032,228.0
1692972890.293807,207408,227.0
1692972896.4603655,208448,227.0
1692972899.516769,209008,227.0
1692972908.0985312,210528,226.0
1692972917.8117921,212224,226.0
1692972925.1642983,213344,225.0
1692972927.5836065,213824,225.0
1692972936.409411,215344,225.0
1692972953.0521433,218160,224.0
1692972964.3551996,220160,223.0
1692972975.6791332,222160,222.0
1692972981.1491275,223136,222.0
1692972985.2720647,223760,222.0
1692972991.9715269,224976,222.0
1692973004.711691,227216,221.0
1692973013.5615668,228752,221.0
1692973020.8137007,230032,220.0
1692973032.0235374,232032,220.0
1692973037.3016393,232928,220.0
1692973041.4997516,233648,219.0
1692973050.5882776,235248,219.0
1692973064.7206569,237744,219.0
1692973078.0174794,240064,218.0
1692973089.170254,242080,218.0
1692973092.9434805,242720,217.0
1692973105.9449415,244880,217.0
1692973117.1098747,246896,217.0
1692973120.9237115,247536,216.0
1692973124.2709734,248096,216.0
1692973133.174144,249696,216.0
1692973144.2387378,251712,216.0
1692973148.216088,252352,215.0
1692973154.341215,253472,215.0
1692973160.4871676,254512,215.0
1692973173.438638,256768,215.0
1692973175.8394825,257168,214.0
1692973188.1269555,259328,214.0
1692973202.173672,261824,214.0
1692973206.335671,262528,213.0
1692973212.4101708,263504,213.0
1692973217.184809,264304,213.0
1692973230.7928798,266640,213.0
1692973235.1322222,267440,212.0
1692973242.6916263,268720,212.0
1692973245.4101584,269200,212.0
1692973258.263187,271456,212.0
1692973262.4754412,272256,212.0
1692973274.2178802,274336,211.0
1692973285.190724,276272,211.0
1692973290.1005366,277072,211.0
1692973298.1083376,278512,211.0
1692973302.5444045,279312,211.0
1692973312.9652214,281088,210.0
1692973317.9645252,281888,210.0
1692973340.7374656,285904,210.0
1692973352.4871356,287984,209.0
1692973358.3626747,289024,209.0
1692973361.461993,289584,209.0
1692973368.1339242,290720,209.0
1692973380.0147958,292800,209.0
1692973385.8585532,293840,208.0
1692973395.1435993,295536,208.0
1692973407.2738075,297616,208.0
1692973413.1528716,298656,208.0
1692973417.2295403,299376,208.0
1692973435.1055174,302512,207.0
1692973440.8959982,303472,207.0
1692973444.7160573,304192,207.0
1692973454.2822208,305872,207.0
1692973462.3020043,307328,207.0
1692973467.9246743,308288,207.0
1692973472.3032944,309008,206.0
1692973481.4833038,310688,206.0
1692973490.0168972,312144,206.0
1692973495.3430257,313104,206.0
1692973509.1024318,315504,206.0
