Wall time,Step,Value
1692971980.3548946,4816,0.0
1692971982.3083396,14448,0.0
1692971983.268284,19264,0.0
1692971984.272112,24080,1.25
1692971987.3553715,38528,1.3333333730697632
1692971988.3269088,43344,0.0
1692971988.3505638,43424,0.0
1692971989.2864947,48160,2.857142925262451
1692972006.5200772,53056,0.0
1692972033.2184458,57792,0.0
1692972034.059735,57872,90.0
1692972061.2861679,62608,44.61538314819336
1692972065.421095,63408,140.0
1692972088.4157646,67424,75.38461303710938
1692972092.944076,68224,153.3333282470703
1692972115.8843448,72240,1.5384615659713745
1692972120.7258554,73040,0.0
1692972143.4094205,77056,85.0
1692972170.5781817,81872,0.0
1692972170.9973073,81952,0.0
1692972178.9035895,83312,215.0
1692972198.1222258,86688,0.0
1692972198.543149,86768,0.0
1692972205.7855642,88128,135.0
1692972225.249697,91504,0.0
1692972231.327254,92384,135.0
1692972238.5648236,93424,240.0
1692972256.8491688,96320,0.0
1692972261.8469486,97200,325.0
1692972270.6573017,98720,125.0
1692972284.5637734,101136,10.0
1692972285.6671598,101376,0.0
1692972290.9536583,102256,290.0
1692972311.503631,105952,0.0
1692972313.7155528,106272,286.6666564941406
1692972339.06777,110768,0.0
1692972340.975004,111088,33.33333206176758
1692972347.224758,112128,10.0
1692972359.428143,114208,30.0
1692972367.5445313,115584,0.0
1692972369.3018842,115904,0.0
1692972375.9785948,116944,0.0
1692972387.528151,119024,0.0
1692972395.6354008,120400,0.0
1692972397.7408981,120720,0.0
1692972415.6602302,123920,10.0
1692972423.3248177,125296,20.0
1692972431.0003376,126656,10.0
1692972443.3153164,128816,230.0
1692972450.514327,130112,0.0
1692972453.9857914,130752,0.0
1692972474.2497418,134272,65.0
1692972479.2884598,135168,0.0
1692972483.7337906,135888,10.0
1692972485.8214843,136288,170.0
1692972506.9643197,139984,5.0
1692972511.1893167,140704,10.0
1692972513.298278,141104,0.0
1692972530.0941904,143904,220.0
1692972538.680371,145520,0.0
1692972541.0642934,145920,0.0
1692972556.9045815,148720,0.0
1692972562.0765886,149616,0.0
1692972565.9062994,150336,0.0
1692972568.4913254,150736,0.0
1692972587.5771894,154112,48.0
1692972589.649187,154432,73.33333587646484
1692972594.5309963,155232,75.0
1692972602.1162379,156592,168.0
1692972615.463994,158928,0.0
1692972617.278558,159248,0.0
1692972622.080863,160048,0.0
1692972629.3521676,161408,0.0
1692972642.7886374,163744,20.0
1692972644.59023,164064,66.66666412353516
1692972656.8948588,166224,92.0
1692972672.009225,168944,110.0
1692972676.7512026,169680,0.0
1692972684.3183286,171040,0.0
