Wall time,Step,Value
1693001820.8890595,6144,301.0
1693001826.8436663,10240,301.15625
1693001832.5549605,12288,301.15625
1693001834.199556,14336,301.15625
1693001850.6371734,24576,301.0625
1693001855.6127942,26624,301.0625
1693001857.116746,28672,301.0625
1693001865.9591475,34816,301.04998779296875
1693001870.5346355,36864,301.04998779296875
1693001871.9591253,38912,301.04998779296875
1693001878.976683,43008,301.04998779296875
1693001880.3913965,45056,301.0
1693001886.0606005,47104,301.0
1693001891.4574637,51200,301.0
1693001892.8503222,53248,301.0
1693001901.4104455,59392,301.0
1693001907.0487976,61440,301.0
1693001908.5533915,63488,301.0
1693001912.712532,65536,301.0
1693001914.1853547,67584,301.0
1693001922.922087,73728,301.0
1693001927.7075112,75776,301.0
1693001933.5718987,79872,301.0
1693001935.0782776,81920,301.0
1693001941.3459275,83968,301.0
1693001944.2697558,86016,301.0
1693001945.7408738,88064,301.0
1693001967.7894871,102400,301.0
1693001972.1149738,104448,301.0
1693001973.5995958,106496,301.0
1693001978.643141,108544,301.0
1693001980.0621612,110592,301.0
1693001981.6234322,112640,301.0
1693001987.7502308,114688,301.0
1693001989.2763822,116736,301.0
1693001993.2644455,118784,301.0
1693002000.1712546,122880,301.0
1693002009.069464,129024,301.0
1693002010.4459426,131072,301.0
1693002014.2120347,133120,301.0
1693002015.664041,135168,301.0
1693002026.1037061,139264,301.0
1693002027.5579364,141312,301.0
1693002032.9275181,143360,301.0
1693002034.402171,145408,301.0
1693002039.8390598,149504,301.0
1693002045.6680877,151552,301.0
1693002048.534116,155648,301.0
1693002055.5088124,159744,301.0
1693002061.336666,163840,301.0
1693002067.4486034,165888,301.0
1693002068.8202286,167936,301.0
1693002070.3621356,169984,301.0
1693002076.881916,174080,301.0
1693002081.5788128,176128,301.0
1693002084.7919211,180224,301.0
1693002091.460999,182272,301.0
1693002092.9328332,184320,301.0
1693002098.717116,188416,301.0
1693002103.546981,190464,301.0
1693002117.9674747,200704,301.04998779296875
1693002119.4425051,202752,301.20001220703125
1693002127.7006721,208896,301.20001220703125
1693002133.638852,210944,301.20001220703125
1693002140.3922698,217088,301.20001220703125
1693002146.5645359,219136,301.20001220703125
1693002149.591647,223232,301.20001220703125
1693002155.064846,225280,301.20001220703125
1693002156.550918,227328,301.20001220703125
1693002160.5970757,229376,301.20001220703125
1693002162.0631196,231424,301.1499938964844
1693002167.9411354,233472,301.1499938964844
1693002169.3393302,235520,301.1499938964844
1693002176.2342591,239616,301.0
1693002177.8356178,241664,301.0
1693002182.1912029,243712,301.0
1693002183.6621225,245760,301.0
1693002194.2195296,251904,301.0
1693002199.0495238,253952,301.0
1693002213.5196528,262144,301.0
1693002218.1595566,264192,301.0
1693002224.3527408,268288,301.0
1693002225.8253038,270336,301.0
1693002230.8504024,272384,301.0
1693002232.2854974,274432,301.0
1693002233.747694,276480,301.0
1693002241.7608786,280576,301.0
1693002247.557809,284672,301.0
1693002252.7651584,286720,301.0
1693002254.221585,288768,301.0
1693002255.6903794,290816,301.0
1693002261.631346,292864,301.0
1693002263.0292895,294912,301.0
1693002268.8699157,299008,301.0
1693002274.3824697,301056,301.0
1693002275.7815595,303104,301.0
1693002277.309901,305152,301.0
1693002282.971831,307200,301.0
1693002289.9507318,313344,301.0
1693002304.3587863,321536,301.0
1693002310.3035932,325632,301.0
1693002311.8140497,327680,301.0
1693002330.1369073,331776,301.0
1693002332.1762745,333824,301.0
1693002338.4776702,337920,301.0
1693002342.9583104,339968,301.0
1693002344.3519578,342016,301.0
1693002355.3300722,346112,301.0
1693002361.6250947,350208,301.0
1693002368.0734377,354304,301.0
1693002369.537413,356352,301.0
1693002370.9969902,358400,301.0
1693002388.900613,362496,301.0
1693002393.308201,364544,301.0
1693002394.783229,366592,301.0
1693002399.8902497,368640,301.0
1693002401.397381,370688,301.0
1693002409.0453677,374784,301.0
1693002410.4881938,376832,301.0
1693002414.7625468,378880,301.0
1693002416.1362035,380928,301.0
1693002421.638901,382976,301.0
1693002425.984731,385024,301.0
1693002427.433438,387072,301.0
1693002438.6615067,393216,301.0
1693002440.1525517,395264,301.0
1693002446.148688,397312,301.0
1693002447.4982696,399360,301.0
1693002455.5519066,405504,301.0
1693002467.2257197,411648,301.0
1693002470.3799133,413696,301.0
1693002471.8291523,415744,301.0
1693002478.6946754,419840,301.0
1693002483.253859,421888,301.0
1693002484.744302,423936,301.0
1693002490.8069897,425984,301.0
1693002495.3192744,430080,301.0
1693002500.0312185,432128,301.0
1693002501.4326274,434176,301.0
1693002507.962961,438272,301.0
1693002518.7524512,442368,301.0
1693002524.6980948,446464,301.0
1693002526.1953864,448512,301.0
1693002532.9086332,452608,301.0
1693002534.3923295,454656,301.0
1693002540.8767295,456704,301.0
1693002542.4583192,458752,301.0
1693002546.827775,460800,301.0
1693002553.713566,464896,301.0
1693002555.0637007,466944,301.0
1693002556.5915973,468992,301.0
1693002568.4226415,475136,301.0
1693002575.492305,479232,301.0
1693002576.9093256,481280,301.0
1693002578.5852365,483328,301.0
1693002584.212364,485376,301.0
1693002585.7196486,487424,301.0
1693002589.689915,489472,301.0
1693002591.1084173,491520,301.0
1693002597.2211351,493568,301.0
1693002598.590082,495616,301.0
1693002605.3233483,499712,301.0
1693002606.7482805,501760,301.0
1693002612.292042,505856,301.0
1693002619.9080682,507904,301.0
1693002623.3674073,509952,301.0
1693002624.8697112,512000,301.0
1693002630.1274981,514048,301.0
1693002631.5554206,516096,301.0
1693002643.8887987,522240,301.0
1693002648.4137478,524288,301.0
1693002649.992419,526336,301.0
1693002654.8204517,528384,301.0
1693002661.413766,532480,301.0
1693002662.8293939,534528,301.0
1693002664.5519311,536576,301.0
1693002670.6433027,538624,301.0
1693002676.498799,542720,301.0
1693002677.9038124,544768,301.0
1693002694.3415122,555008,301.0
1693002699.933636,559104,301.0
1693002705.4890099,561152,301.0
1693002714.458051,567296,301.0
1693002715.974976,569344,301.0
1693002719.8912761,571392,301.0
1693002726.9795296,575488,301.0
1693002728.4621906,577536,301.0
1693002730.1111913,579584,301.0
1693002735.6720943,581632,301.0
1693002737.0067222,583680,301.0
1693002741.0665114,585728,301.0
1693002742.5216131,587776,301.0
1693002748.911572,589824,301.0
1693002753.1833022,593920,301.0
1693002758.349865,595968,301.0
1693002764.2152863,600064,301.0
1693002765.6786983,602112,301.0
1693002781.514467,610304,301.0
1693002783.012338,612352,301.0
1693002787.7760797,614400,301.0
1693002789.2535777,616448,301.0
1693002790.7412639,618496,301.0
1693002796.7175384,620544,301.0
1693002809.281148,628736,301.0
1693002810.5433376,630784,301.0
1693002811.900982,632832,301.0
1693002818.0988083,634880,301.0
1693002819.5621212,636928,301.0
1693002823.8649,638976,301.0
1693002830.756373,643072,301.0
1693002832.1470256,645120,301.0
1693002833.6099415,647168,301.0
1693002839.4015117,649216,301.0
1693002840.8051531,651264,301.0
1693002844.7202084,653312,301.0
1693002851.5301173,657408,301.0
1693002852.8411791,659456,301.0
1693002854.4169984,661504,301.0
1693002859.9220252,663552,301.0
1693002861.4719727,665600,301.0
1693002867.3979628,669696,301.0
1693002875.9509463,675840,301.0
1693002882.3527188,679936,301.0
1693002886.6814008,681984,301.0
1693002888.0579453,684032,301.0
1693002894.2186093,686080,301.0
1693002897.3501883,688128,301.0
1693002910.165389,696320,301.0
1693002911.6737838,698368,301.0
1693002922.9885058,702464,301.0
1693002929.5483696,706560,301.0
1693002931.1050365,708608,301.0
1693002936.0597556,710656,301.0
1693002937.5204186,712704,301.0
1693002939.1321535,714752,301.0
1693002945.4600418,716800,301.0
1693002946.8171422,718848,301.0
1693002951.1441836,720896,301.0
1693002952.5594769,722944,301.0
1693002959.093786,727040,301.0
1693002960.6172752,729088,301.0
1693002966.5220442,731136,301.0
1693002967.9812744,733184,301.0
1693002973.2960763,737280,301.0
1693002978.9250796,739328,301.0
1693002981.803058,743424,301.0
1693002988.1000338,745472,301.0
1693002989.657508,747520,301.0
1693002993.8204048,749568,301.0
1693002995.4764104,751616,301.0
1693003001.2929747,753664,301.0
1693003002.7870612,755712,301.0
1693003004.3661048,757760,301.0
1693003009.658039,759808,301.0
1693003011.0655255,761856,301.0
1693003028.2762117,770048,301.0
1693003029.6503017,772096,301.0
1693003037.0157895,774144,301.0
1693003043.0660875,778240,301.0
1693003044.643379,780288,301.0
1693003060.1017263,788480,301.0
1693003066.2725954,792576,301.0
1693003067.7407045,794624,301.0
1693003069.0608802,796672,301.0
1693003081.3165457,802816,301.0
1693003082.7242558,804864,301.0
1693003087.9163878,806912,301.0
1693003089.2734675,808960,301.0
1693003090.6364715,811008,301.0
1693003096.637742,813056,301.0
1693003097.9375577,815104,301.0
1693003102.198852,817152,301.0
1693003103.6832778,819200,301.0
1693003109.5407183,821248,301.0
1693003111.0079257,823296,301.0
1693003112.4461,825344,301.0
1693003118.1163957,827392,301.0
1693003119.556469,829440,301.0
1693003125.0817552,833536,301.0
1693003132.3071957,837632,301.0
1693003133.9258964,839680,301.0
1693003139.5513873,841728,301.0
1693003141.0027792,843776,301.0
1693003152.3886294,849920,301.0
1693003153.8435194,851968,301.0
1693003155.2341874,854016,301.0
1693003160.2810469,856064,301.0
1693003167.4274359,862208,301.0
1693003173.7055814,864256,301.0
1693003177.9422572,868352,301.0
1693003182.7205381,870400,301.0
1693003190.4421504,876544,301.0
1693003196.7729669,878592,301.0
1693003201.3402174,880640,301.0
1693003207.3875842,884736,301.0
1693003208.806448,886784,301.0
1693003213.7177117,888832,301.0
1693003223.1622856,894976,301.0
1693003224.727218,897024,301.0
1693003229.343157,899072,301.0
1693003230.7261035,901120,301.0
1693003235.8261056,903168,301.0
1693003237.1356966,905216,301.0
1693003238.5815854,907264,301.0
1693003244.303143,909312,301.0
1693003249.7898471,913408,301.0
1693003251.2466748,915456,301.0
1693003256.8441794,917504,301.0
1693003258.0877967,919552,301.0
1693003270.6890292,927744,301.0
1693003272.180277,929792,301.0
1693003278.0050466,931840,301.0
1693003279.5079818,933888,301.0
1693003281.1137428,935936,301.0
1693003288.2972095,940032,301.0
1693003294.1488307,944128,301.0
1693003303.2544944,948224,301.0
1693003305.0402596,950272,301.0
1693003309.8934135,952320,301.0
1693003315.816239,956416,301.0
1693003317.2633674,958464,301.0
1693003323.3939178,960512,301.0
1693003329.442309,964608,301.0
1693003335.637129,968704,301.0
1693003340.455798,970752,301.0
1693003343.4591062,974848,301.0
1693003350.104956,976896,301.0
1693003351.518083,978944,301.0
1693003362.6398141,985088,301.0
1693003364.0709584,987136,301.0
1693003365.684338,989184,301.0
1693003371.5942519,991232,301.0
1693003373.0489776,993280,301.0
1693003377.333383,995328,301.0
1693003378.8029962,997376,301.0
1693003385.5875118,1001472,301.0
1693003386.9452193,1003520,301.0
1693003392.537161,1005568,301.0
1693003394.1827233,1007616,301.0
1693003398.0220437,1009664,301.0
1693003399.363683,1011712,301.0
1693003408.1287544,1017856,301.0
1693003413.6884341,1019904,301.0
1693003419.1226423,1024000,301.0
1693003420.6265318,1026048,301.0
1693003426.5482206,1028096,301.0
1693003430.9527552,1032192,301.0
1693003436.3559296,1034240,301.0
1693003437.8620596,1036288,301.0
1693003450.0152457,1042432,301.0
1693003452.9146523,1044480,301.0
1693003454.505849,1046528,301.0
1693003459.5242336,1048576,301.0
1693003460.9743028,1050624,301.0
1693003465.72663,1052672,301.0
1693003467.2538295,1054720,301.0
1693003473.837084,1056768,301.0
1693003478.3324292,1058816,301.0
1693003484.306395,1062912,301.0
1693003485.795152,1064960,301.0
1693003490.9922473,1067008,301.0
1693003492.6063752,1069056,301.0
1693003494.2852523,1071104,301.0
1693003500.6278665,1073152,301.0
1693003506.4200225,1077248,301.0
1693003514.2039785,1083392,301.0
1693003527.4389157,1091584,301.0
1693003534.808808,1095680,301.0
1693003536.3763673,1097728,301.0
