Wall time,Step,Value
1693001813.083034,2048,1911.0
1693001820.8891375,6144,692.0
1693001825.4323459,8192,610.0
1693001826.8437476,10240,690.0
1693001844.6391819,20480,627.0
1693001849.200076,22528,605.0
1693001850.6372507,24576,636.0
1693001858.7105737,30720,657.0
1693001864.4928033,32768,624.0
1693001865.9592245,34816,645.0
1693001871.9592042,38912,649.0
1693001877.6383314,40960,624.0
1693001878.9767625,43008,642.0
1693001886.060677,47104,636.0
1693001887.4954925,49152,651.0
1693001898.5996332,55296,638.0
1693001899.9033084,57344,652.0
1693001901.4105244,59392,664.0
1693001907.048875,61440,646.0
1693001908.5534685,63488,657.0
1693001920.1736658,69632,643.0
1693001921.5080087,71680,654.0
1693001927.7075891,75776,654.0
1693001929.198047,77824,664.0
1693001933.571976,79872,657.0
1693001935.0783548,81920,665.0
1693001941.3460026,83968,649.0
1693001959.4139132,98304,666.0
1693001966.3965225,100352,650.0
1693001967.789565,102400,657.0
1693001972.1150517,104448,652.0
1693001973.5996737,106496,659.0
1693001978.6432228,108544,651.0
1693001980.0622396,110592,658.0
1693001981.6235085,112640,664.0
1693001987.7503095,114688,652.0
1693001993.2645013,118784,655.0
1693002001.9954689,124928,657.0
1693002003.416703,126976,663.0
1693002009.0695455,129024,654.0
1693002010.446019,131072,660.0
1693002015.664121,135168,663.0
1693002024.6383622,137216,645.0
1693002026.1037846,139264,650.0
1693002027.5580156,141312,655.0
1693002034.402249,145408,653.0
1693002038.4262924,147456,651.0
1693002045.668167,151552,648.0
1693002048.5341785,155648,658.0
1693002055.5088875,159744,656.0
1693002059.900852,161792,652.0
1693002061.336742,163840,657.0
1693002067.4486828,165888,649.0
1693002070.3622172,169984,657.0
1693002075.2623641,172032,653.0
1693002081.57889,176128,653.0
1693002083.1292229,178176,657.0
1693002084.7919993,180224,660.0
1693002092.9329126,184320,656.0
1693002097.2696261,186368,653.0
1693002112.3352911,196608,654.0
1693002113.6966798,198656,658.0
1693002124.8255937,204800,654.0
1693002126.3895185,206848,657.0
1693002135.0239756,212992,659.0
1693002138.97764,215040,657.0
1693002146.5646122,219136,655.0
1693002147.9709995,221184,658.0
1693002149.5917284,223232,661.0
1693002155.064922,225280,656.0
1693002156.5509968,227328,659.0
1693002160.597152,229376,658.0
1693002162.063196,231424,661.0
1693002169.3394077,235520,659.0
1693002170.7887557,237568,662.0
1693002176.2343338,239616,657.0
1693002177.835694,241664,660.0
1693002189.7184427,247808,656.0
1693002192.7271857,249856,656.0
1693002205.7560287,258048,655.0
1693002207.1367316,260096,658.0
1693002218.1596348,264192,650.0
1693002219.5718982,266240,653.0
1693002224.3528411,268288,650.0
1693002225.82538,270336,653.0
1693002230.8504782,272384,650.0
1693002233.747771,276480,655.0
1693002241.7609577,280576,652.0
1693002246.00059,282624,651.0
1693002247.5578852,284672,653.0
1693002252.7652535,286720,650.0
1693002254.2216587,288768,653.0
1693002255.690458,290816,655.0
1693002263.0293665,294912,653.0
1693002267.435221,296960,652.0
1693002268.8699937,299008,654.0
1693002274.382547,301056,651.0
1693002275.7816358,303104,653.0
1693002284.7022898,309248,654.0
1693002297.311112,317440,654.0
1693002304.3588626,321536,653.0
1693002305.880445,323584,655.0
1693002311.8141263,327680,655.0
1693002320.9670973,329728,647.0
1693002332.1763515,333824,641.0
1693002337.1273732,335872,639.0
1693002338.4777484,337920,641.0
1693002344.3520346,342016,642.0
1693002355.330149,346112,637.0
1693002361.6251802,350208,637.0
1693002363.161429,352256,639.0
1693002368.073516,354304,637.0
1693002370.9970663,358400,641.0
1693002385.935124,360448,628.0
1693002388.9006925,362496,628.0
1693002393.3082767,364544,627.0
1693002394.783305,366592,629.0
1693002401.3974621,370688,628.0
1693002402.8682005,372736,630.0
1693002409.045447,374784,627.0
1693002410.4882722,376832,629.0
1693002414.7626216,378880,628.0
1693002416.1362803,380928,630.0
1693002421.638979,382976,628.0
1693002433.2779813,389120,626.0
1693002434.7954674,391168,628.0
1693002438.6615915,393216,627.0
1693002440.1526277,395264,629.0
1693002448.878446,401408,630.0
1693002459.7009654,407552,629.0
1693002461.2220595,409600,630.0
1693002467.2258003,411648,628.0
1693002471.8292277,415744,630.0
1693002477.0634768,417792,628.0
1693002478.6947558,419840,629.0
1693002483.253937,421888,628.0
1693002490.8070648,425984,627.0
1693002493.8347495,428032,627.0
1693002495.3193545,430080,629.0
1693002501.4327044,434176,629.0
1693002507.9630387,438272,629.0
1693002518.752531,442368,625.0
1693002520.1689813,444416,627.0
1693002526.1954656,448512,628.0
1693002531.4057803,450560,626.0
1693002532.9087112,452608,627.0
1693002534.392408,454656,629.0
1693002540.8768075,456704,626.0
1693002546.8278577,460800,627.0
1693002548.3492131,462848,628.0
1693002553.7136416,464896,626.0
1693002562.3932457,471040,627.0
1693002568.4227157,475136,628.0
1693002569.8800852,477184,629.0
1693002576.9094036,481280,629.0
1693002578.5853164,483328,630.0
1693002584.2124407,485376,628.0
1693002585.7197263,487424,629.0
1693002589.6899962,489472,629.0
1693002591.108493,491520,630.0
1693002598.5901592,495616,630.0
1693002600.070334,497664,631.0
1693002606.7483552,501760,631.0
1693002611.0006175,503808,630.0
1693002612.2921176,505856,632.0
1693002619.9081511,507904,628.0
1693002623.3674843,509952,628.0
1693002624.8697875,512000,629.0
1693002636.2237635,518144,628.0
1693002637.6487567,520192,630.0
1693002643.8888774,522240,627.0
1693002648.4138262,524288,626.0
1693002654.8205323,528384,626.0
1693002656.3731174,530432,628.0
1693002661.4138436,532480,626.0
1693002662.8294709,534528,628.0
1693002670.6433825,538624,627.0
1693002672.1634843,540672,628.0
1693002686.79808,550912,629.0
1693002694.3415883,555008,629.0
1693002698.5493236,557056,628.0
1693002707.067422,563200,629.0
1693002708.67897,565248,630.0
1693002714.4581265,567296,628.0
1693002719.8913534,571392,629.0
1693002721.3134942,573440,630.0
1693002726.9796064,575488,628.0
1693002728.4622662,577536,630.0
1693002730.1112702,579584,631.0
1693002735.6721737,581632,629.0
1693002737.0067973,583680,631.0
1693002741.0665889,585728,630.0
1693002748.911647,589824,629.0
1693002751.7693646,591872,629.0
1693002758.349943,595968,629.0
1693002759.7808733,598016,630.0
1693002774.8895524,606208,629.0
1693002776.4404194,608256,630.0
1693002781.514544,610304,629.0
1693002783.0124147,612352,630.0
1693002787.7761557,614400,629.0
1693002789.2536538,616448,630.0
1693002802.4438744,624640,630.0
1693002803.8159404,626688,631.0
1693002809.281224,628736,630.0
1693002810.5434158,630784,631.0
1693002811.901058,632832,632.0
1693002818.0988858,634880,631.0
1693002823.864977,638976,631.0
1693002825.4491985,641024,632.0
1693002830.756453,643072,631.0
1693002832.1471043,645120,632.0
