Wall time,Step,Value
1693001820.8897145,6144,0.0
1693001826.8443508,10240,3.75
1693001835.7883382,16384,0.0
1693001844.6398337,20480,0.0
1693001850.6379507,24576,0.0
1693001858.7112756,30720,0.0
1693001865.9598892,34816,0.0
1693001871.9599273,38912,0.0
1693001880.3921716,45056,0.0
1693001887.49616,49152,0.0
1693001892.851057,53248,0.0
1693001901.41121,59392,0.0
1693001908.5541432,63488,0.0
1693001914.1861339,67584,0.0
1693001922.9229105,73728,0.0
1693001929.1987169,77824,0.0
1693001935.0790312,81920,0.0
1693001941.3466227,83968,0.0
1693001945.7416282,88064,0.0
1693001951.9049175,92160,0.0
1693001959.4145703,98304,0.0
1693001967.7902713,102400,0.0
1693001973.6077447,106496,0.0
1693001981.6241515,112640,0.0
1693001989.2771237,116736,0.0
1693001994.7574804,120832,0.0
1693002003.417367,126976,0.0
1693002010.4467373,131072,0.0
1693002015.664811,135168,0.0
1693002027.5587192,141312,0.0
1693002034.4029114,145408,0.0
1693002039.8397858,149504,0.0
1693002048.5349364,155648,0.0
1693002055.509583,159744,0.0
1693002061.337429,163840,0.0
1693002070.3628778,169984,0.0
1693002076.882665,174080,0.0
1693002084.7926824,180224,0.0
1693002092.933566,184320,1.25
1693002098.7178872,188416,0.0
1693002106.3280065,194560,1.25
1693002113.6973474,198656,3.75
1693002119.4432502,202752,8.75
1693002127.7014394,208896,0.0
1693002135.0246098,212992,1.25
1693002140.3929882,217088,3.75
1693002149.592382,223232,0.0
1693002156.5516682,227328,0.0
1693002162.0638459,231424,0.0
1693002170.789395,237568,0.0
1693002177.836377,241664,0.0
1693002183.6628435,245760,0.0
1693002189.7190895,247808,0.0
1693002194.2202916,251904,0.0
1693002200.5233521,256000,0.0
1693002207.137389,260096,0.0
1693002213.5203953,262144,0.0
1693002219.5725555,266240,0.0
1693002225.8260474,270336,0.0
1693002233.7484493,276480,0.0
1693002241.7616465,280576,0.0
1693002247.5585465,284672,0.0
1693002255.691097,290816,0.0
1693002263.0301046,294912,0.0
1693002268.8706806,299008,0.0
1693002277.3106453,305152,0.0
1693002284.7029717,309248,0.0
1693002289.9514792,313344,0.0
1693002298.916289,319488,0.0
1693002305.8811193,323584,0.0
1693002311.8148096,327680,0.0
1693002320.9677575,329728,0.0
1693002332.1771235,333824,0.0
1693002338.4784553,337920,0.0
1693002344.3527136,342016,0.0
1693002350.7493184,344064,0.0
1693002356.8681943,348160,0.0
1693002363.168646,352256,0.0
1693002370.997732,358400,0.0
1693002388.9013786,362496,0.0
1693002394.783991,366592,0.0
1693002402.8688467,372736,0.0
1693002410.4889367,376832,0.0
1693002416.136957,380928,0.0
1693002427.4342034,387072,0.0
1693002434.7961574,391168,0.0
1693002440.1532803,395264,0.0
1693002448.8790965,401408,0.0
1693002455.5526597,405504,0.0
1693002461.2227764,409600,0.0
1693002471.8299367,415744,0.0
1693002478.6955469,419840,0.0
1693002484.7451003,423936,0.0
1693002490.8077474,425984,0.0
1693002495.3200436,430080,0.0
1693002501.433363,434176,0.0
1693002507.963693,438272,0.0
1693002514.1856015,440320,0.0
1693002520.1696315,444416,0.0
1693002526.1961348,448512,0.0
1693002534.3930917,454656,0.0
1693002542.4590616,458752,0.0
1693002548.3499186,462848,0.0
1693002556.5924044,468992,0.0
1693002563.995963,473088,0.0
1693002569.8819187,477184,0.0
1693002578.5859852,483328,0.0
1693002585.7203674,487424,0.0
1693002591.109145,491520,0.0
1693002600.0710528,497664,0.0
1693002606.7489803,501760,0.0
1693002612.2927816,505856,0.0
1693002619.9088297,507904,0.0
1693002624.870452,512000,0.0
1693002631.556154,516096,0.0
1693002637.6493983,520192,0.0
1693002643.8895383,522240,0.0
1693002649.993183,526336,0.0
1693002656.3737972,530432,0.0
1693002664.552701,536576,0.0
1693002672.1641424,540672,0.0
1693002677.9045691,544768,0.0
1693002686.7987387,550912,0.0
1693002694.3422756,555008,0.0
1693002699.934346,559104,0.0
1693002708.6796315,565248,0.0
1693002715.9757135,569344,0.0
1693002721.3141594,573440,0.0
1693002730.1119776,579584,0.0
1693002737.007458,583680,0.0
1693002742.5223582,587776,0.0
1693002748.9123113,589824,0.0
1693002753.184096,593920,0.0
1693002759.7815394,598016,0.0
1693002765.6794693,602112,0.0
1693002771.9120836,604160,0.0
1693002776.4411237,608256,0.0
1693002783.01309,612352,0.0
1693002789.254303,616448,0.0
1693002790.742039,618496,0.0
1693002798.0070093,622592,0.0
1693002803.8166535,626688,0.0
1693002811.9017236,632832,0.0
1693002819.5628603,636928,0.0
1693002825.4498856,641024,0.0
1693002833.6106951,647168,0.0
1693002840.805913,651264,0.0
1693002846.0341046,655360,0.0
1693002854.4177566,661504,0.0
1693002861.4727316,665600,0.0
1693002867.3987436,669696,0.0
1693002875.951662,675840,0.0
1693002882.3534606,679936,0.0
1693002888.0586689,684032,0.0
1693002894.2193935,686080,0.0
1693002898.8968859,690176,0.0
1693002905.5544727,694272,0.0
1693002911.6745205,698368,0.0
1693002918.4165251,700416,0.0
1693002924.6052277,704512,0.0
1693002931.1057787,708608,0.0
1693002939.132887,714752,0.0
1693002946.8179107,718848,0.0
1693002952.5602052,722944,0.0
1693002960.617998,729088,0.0
1693002967.982036,733184,0.0
1693002973.2969487,737280,0.0
1693002981.8037837,743424,0.0
1693002989.658091,747520,0.0
1693002995.4771714,751616,0.0
1693003004.3668816,757760,0.0
1693003011.066291,761856,0.0
1693003016.6230497,765952,0.0
1693003025.3594606,768000,0.0
1693003029.6510215,772096,0.0
1693003038.587626,776192,0.0
1693003044.6441162,780288,0.0
1693003051.0371146,782336,0.0
1693003055.4399343,786432,0.0
1693003061.499279,790528,0.0
1693003069.061647,796672,0.0
1693003076.8411784,800768,0.0
1693003082.7249937,804864,0.0
1693003090.6372056,811008,0.0
1693003097.9382846,815104,0.0
1693003103.6840944,819200,0.0
1693003112.446817,825344,0.0
1693003119.557153,829440,0.0
1693003125.0825043,833536,0.0
1693003133.9266238,839680,0.0
1693003141.003528,843776,0.0
1693003146.5235538,847872,0.0
1693003155.2349188,854016,0.0
1693003161.7567642,858112,0.0
1693003167.4282043,862208,0.0
1693003173.7063036,864256,0.0
1693003177.9430008,868352,0.0
1693003184.1877196,872448,0.0
1693003190.4428995,876544,0.0
1693003196.7737303,878592,0.0
1693003202.7963672,882688,0.0
1693003208.8071928,886784,0.0
1693003217.0840228,892928,0.0
1693003224.7279456,897024,0.0
1693003230.7268267,901120,0.0
1693003238.5823183,907264,0.0
1693003245.7281666,911360,0.0
1693003251.2474108,915456,0.0
1693003259.5800197,921600,0.0
1693003266.6096065,925696,0.0
1693003272.181019,929792,0.0
1693003281.1144557,935936,0.0
1693003288.29792,940032,0.0
1693003294.149562,944128,0.0
1693003300.2202284,946176,0.0
1693003305.0410013,950272,0.0
1693003311.2304466,954368,0.0
1693003317.2641022,958464,0.0
1693003323.3946297,960512,0.0
1693003329.4430797,964608,0.0
1693003335.637904,968704,0.0
1693003343.459845,974848,0.0
1693003351.5188057,978944,0.0
1693003357.6379576,983040,0.0
1693003365.6850734,989184,0.0
1693003373.0497081,993280,0.0
1693003378.8037486,997376,0.0
1693003386.945993,1003520,0.0
1693003394.183451,1007616,0.0
1693003399.364427,1011712,0.0
1693003408.1294887,1017856,0.0
