Wall time,Step,Value
1693001820.8897007,6144,269.875
1693001826.8443363,10240,263.4375
1693001835.7881591,16384,264.0
1693001844.639725,20480,263.9375
1693001850.6378198,24576,260.75
1693001858.711144,30720,254.625
1693001865.9597776,34816,247.0625
1693001871.9597926,38912,248.5625
1693001880.392024,45056,247.6875
1693001887.4960494,49152,239.8125
1693001892.8509479,53248,240.9375
1693001901.4110548,59392,254.4375
1693001908.5540342,63488,253.75
1693001914.186002,67584,243.625
1693001922.9227765,73728,242.6875
1693001929.1985786,77824,243.375
1693001935.078916,81920,238.13333129882812
1693001941.3465126,83968,236.0
1693001945.7415133,88064,235.25
1693001951.9047885,92160,214.3125
1693001959.414457,98304,202.4375
1693001967.7901378,102400,205.875
1693001973.6075826,106496,199.6875
1693001981.6240406,112640,214.25
1693001989.276993,116736,243.1875
1693001994.7573657,120832,248.8125
1693002003.417217,126976,265.4375
1693002010.4465992,131072,273.9375
1693002015.664697,135168,281.8125
1693002027.5586052,141312,286.3125
1693002034.402789,145408,286.0625
1693002039.839651,149504,287.5625
1693002048.534802,155648,291.75
1693002055.5094488,159744,292.0625
1693002061.337286,163840,290.9375
1693002070.3627446,169984,290.4375
1693002076.8825355,174080,284.4375
1693002084.7925391,180224,283.3125
1693002092.9334583,184320,282.5
1693002098.717775,188416,276.4375
1693002106.3278503,194560,269.8125
1693002113.697216,198656,262.5625
1693002119.443118,202752,261.625
1693002127.701305,208896,263.9375
1693002135.0245001,212992,271.625
1693002140.3928595,217088,278.125
1693002149.5922513,223232,281.125
1693002156.551524,227328,265.5
1693002162.0637374,231424,256.1875
1693002170.7892663,237568,241.1875
1693002177.8362453,241664,220.0
1693002183.662708,245760,207.39999389648438
1693002189.7189581,247808,201.0
1693002194.2201433,251904,162.5
1693002200.5232391,256000,149.6875
1693002207.1372697,260096,149.84616088867188
1693002213.5202806,262144,148.0
1693002219.5724382,266240,131.375
1693002225.8259141,270336,159.625
1693002233.7483184,276480,125.125
1693002241.76149,280576,119.6875
1693002247.5584111,284672,139.25
1693002255.690981,290816,122.4375
1693002263.029966,294912,101.3125
1693002268.870547,299008,113.125
1693002277.310514,305152,85.5
1693002284.702817,309248,73.9375
1693002289.951355,313344,95.875
1693002298.916155,319488,77.75
1693002305.8809752,323584,78.5625
1693002311.8146741,327680,70.13333129882812
1693002320.9676454,329728,83.0
1693002332.1771083,333824,83.25
1693002338.478299,337920,61.0
1693002344.3525784,342016,65.80000305175781
1693002350.749182,344064,71.0
1693002356.868055,348160,101.1875
1693002363.168522,352256,101.125
1693002370.9975884,358400,102.4375
1693002388.9012423,362496,115.3125
1693002394.7838564,366592,116.625
1693002402.8687303,372736,123.75
1693002410.4888022,376832,143.875
1693002416.1368396,380928,169.1875
1693002427.4340467,387072,162.6875
1693002434.7960165,391168,167.0
1693002440.1531496,395264,136.625
1693002448.8789644,401408,118.8125
1693002455.5525224,405504,115.25
1693002461.2226396,409600,134.0
1693002471.8298035,415744,123.8125
1693002478.6954074,419840,123.5625
1693002484.7449336,423936,115.0
1693002490.8076134,425984,91.0
1693002495.3199012,430080,86.25
1693002501.433252,434176,89.125
1693002507.963583,438272,64.84615325927734
1693002514.1854658,440320,59.0
1693002520.1695006,444416,41.1875
1693002526.1960015,448512,41.6875
1693002534.392957,454656,51.0625
1693002542.4589293,458752,108.3125
1693002548.349788,462848,46.6875
1693002556.592272,468992,88.3125
1693002563.9958165,473088,82.5
1693002569.88178,477184,88.75
1693002578.5858514,483328,54.25
1693002585.7202363,487424,106.8125
1693002591.1090279,491520,43.9375
1693002600.0709183,497664,80.5625
1693002606.748872,501760,97.625
1693002612.2926486,505856,56.400001525878906
1693002619.9086661,507904,78.0
1693002624.8702824,512000,60.875
1693002631.5560381,516096,97.8125
1693002637.6492696,520192,91.30769348144531
1693002643.8894267,522240,84.66666412353516
1693002649.9930456,526336,81.5
1693002656.3736467,530432,29.875
1693002664.552551,536576,68.0625
1693002672.164032,540672,28.25
1693002677.9044163,544768,35.625
1693002686.7986073,550912,53.75
1693002694.3421445,555008,51.0
1693002699.9342153,559104,76.4375
1693002708.6795177,565248,87.4375
1693002715.9755774,569344,83.9375
1693002721.3140259,573440,76.5
1693002730.1118233,579584,82.625
1693002737.007342,583680,57.6875
1693002742.5222075,587776,55.13333511352539
1693002748.9121938,589824,79.0
1693002753.1839612,593920,120.4375
1693002759.7814062,598016,68.375
1693002765.679302,602112,44.733333587646484
1693002771.9119565,604160,40.0
1693002776.4409623,608256,99.875
1693002783.0129457,612352,60.8125
1693002789.254187,616448,71.92308044433594
1693002790.7418842,618496,81.0
1693002798.0068772,622592,72.0625
1693002803.8164861,626688,97.9375
1693002811.9016116,632832,96.9375
1693002819.5627422,636928,30.3125
1693002825.449772,641024,75.0
1693002833.6105819,647168,59.0
1693002840.8057797,651264,44.9375
1693002846.0339453,655360,44.6875
