Wall time,Step,Value
1693001820.8897278,6144,0.0
1693001826.844364,10240,0.3125
1693001835.7883546,16384,0.0
1693001844.6399817,20480,0.0
1693001850.63808,24576,0.0
1693001858.7114067,30720,0.0
1693001865.9600408,34816,0.0
1693001871.9600606,38912,0.0
1693001880.3922808,45056,0.0
1693001887.4962893,49152,0.0
1693001892.8512106,53248,0.0
1693001901.4113436,59392,0.0
1693001908.5542974,63488,0.0
1693001914.1862419,67584,0.0
1693001922.9230635,73728,0.0
1693001929.1988335,77824,0.0
1693001935.0791645,81920,0.0
1693001941.3467515,83968,0.0
1693001945.7417629,88064,0.0
1693001951.9050457,92160,0.0
1693001959.4147046,98304,0.0
1693001967.7904046,102400,0.0
1693001973.607887,106496,0.0
1693001981.6242814,112640,0.0
1693001989.2772522,116736,0.0
1693001994.7576025,120832,0.0
1693002003.417496,126976,0.0
1693002010.4468575,131072,0.0
1693002015.6649458,135168,0.0
1693002027.5588756,141312,0.0
1693002034.403029,145408,0.0
1693002039.8399184,149504,0.0
1693002048.53507,155648,0.0
1693002055.5097158,159744,0.0
1693002061.337564,163840,0.0
1693002070.3630314,169984,0.0
1693002076.8828244,174080,0.0
1693002084.7927902,180224,0.0
1693002092.9336932,184320,0.0
1693002098.7180183,188416,0.0
1693002106.3281202,194560,0.0
1693002113.6974766,198656,0.3125
1693002119.4434006,202752,0.9375
1693002127.7015717,208896,0.0
1693002135.0247388,212992,0.0
1693002140.3931174,217088,0.0
1693002149.5925188,223232,0.0
1693002156.5517788,227328,0.0
1693002162.0639963,231424,0.0
1693002170.7895231,237568,0.0
1693002177.8365085,241664,0.0
1693002183.6629574,245760,0.0
1693002189.7192183,247808,0.0
1693002194.2204094,251904,0.0
1693002200.5234854,256000,0.0
1693002207.1375194,260096,0.0
1693002213.5205276,262144,0.0
1693002219.5726635,266240,0.0
1693002225.8261797,270336,0.0
1693002233.748583,276480,0.0
1693002241.7617803,280576,0.0
1693002247.558679,284672,0.0
1693002255.6912081,290816,0.0
1693002263.0302172,294912,0.0
1693002268.870815,299008,0.0
1693002277.3107762,305152,0.0
1693002284.703084,309248,0.0
1693002289.9515936,313344,0.0
1693002298.9164224,319488,0.0
1693002305.8812308,323584,0.0
1693002311.8150215,327680,0.0
1693002320.9678895,329728,0.0
1693002332.1771371,333824,0.0
1693002338.4785895,337920,0.0
1693002344.3528478,342016,0.0
1693002350.749543,344064,0.0
1693002356.868312,348160,0.0
1693002363.1687984,352256,0.0
1693002370.997862,358400,0.0
1693002388.9015136,362496,0.0
1693002394.784103,366592,0.0
1693002402.868963,372736,0.0
1693002410.4890704,376832,0.0
1693002416.1370761,380928,0.0
1693002427.4343402,387072,0.0
1693002434.796297,391168,0.0
1693002440.1534216,395264,0.0
1693002448.8792286,401408,0.0
1693002455.5528166,405504,0.0
1693002461.2229087,409600,0.0
1693002471.830069,415744,0.0
1693002478.6956623,419840,0.0
1693002484.7452352,423936,0.0
1693002490.8078585,425984,0.0
1693002495.3201613,430080,0.0
1693002501.4334927,434176,0.0
1693002507.9638224,438272,0.0
1693002514.185733,440320,0.0
1693002520.1697621,444416,0.0
1693002526.1962693,448512,0.0
1693002534.3932052,454656,0.0
1693002542.4591985,458752,0.0
1693002548.350033,462848,0.0
1693002556.5925374,468992,0.0
1693002563.9960968,473088,0.0
1693002569.8820539,477184,0.0
1693002578.5861185,483328,0.0
1693002585.7204978,487424,0.0
1693002591.1092558,491520,0.0
1693002600.0711834,497664,0.0
1693002606.7491064,501760,0.0
1693002612.2929325,505856,0.0
1693002619.909012,507904,0.0
1693002624.8705812,512000,0.0
1693002631.5562768,516096,0.0
1693002637.6495266,520192,0.0
1693002643.889668,522240,0.0
1693002649.9933145,526336,0.0
1693002656.373927,530432,0.0
1693002664.5528104,536576,0.0
1693002672.1642714,540672,0.0
1693002677.9046957,544768,0.0
1693002686.7988682,550912,0.0
1693002694.342406,555008,0.0
1693002699.9344754,559104,0.0
1693002708.6797621,565248,0.0
1693002715.9758224,569344,0.0
1693002721.3142915,573440,0.0
1693002730.1121073,579584,0.0
1693002737.007574,583680,0.0
1693002742.5224895,587776,0.0
1693002748.912443,589824,0.0
1693002753.1842515,593920,0.0
1693002759.781693,598016,0.0
1693002765.6795838,602112,0.0
1693002771.9122505,604160,0.0
1693002776.4412353,608256,0.0
1693002783.0132287,612352,0.0
1693002789.2544374,616448,0.0
1693002790.7421718,618496,0.0
1693002798.007125,622592,0.0
1693002803.816766,626688,0.0
1693002811.90188,632832,0.0
1693002819.5629935,636928,0.0
1693002825.4500406,641024,0.0
1693002833.6108341,647168,0.0
1693002840.8060467,651264,0.0
1693002846.0342438,655360,0.0
1693002854.4178872,661504,0.0
1693002861.4728665,665600,0.0
1693002867.3988788,669696,0.0
1693002875.9517725,675840,0.0
1693002882.3535905,679936,0.0
1693002888.0588,684032,0.0
1693002894.2195046,686080,0.0
1693002898.8970194,690176,0.0
