Wall time,Step,Value
1692996711.6938796,32768,266.2291564941406
1692996723.6166463,65536,267.83929443359375
1692996737.1583712,98304,267.16070556640625
1692996752.5771244,131072,267.4285583496094
1692996766.3404567,163840,265.04901123046875
1692996782.9916859,196608,264.91510009765625
1692996806.6956947,229376,265.3571472167969
1692996826.4185667,262144,260.9090881347656
1692996846.8991156,294912,260.6868591308594
1692996864.954159,327680,258.52728271484375
1692996883.0405853,360448,254.6851806640625
1692996897.6063857,384000,240.875
1692996901.516221,393216,261.03704833984375
1692996918.1382732,425984,263.0776672363281
1692996934.7584426,458752,252.94000244140625
1692996952.4765396,491520,272.7204284667969
1692996969.2904723,524288,271.13043212890625
1692996986.5644207,557056,280.1383056640625
1692997004.4178827,589824,278.9156494140625
1692997019.4179757,622592,287.88507080078125
1692997033.9819303,655360,368.1571350097656
1692997048.5090802,688128,297.7415771484375
1692997063.9197028,720896,287.59259033203125
1692997080.328405,753664,327.9125061035156
1692997093.372895,768000,325.1142883300781
1692997100.4252968,786432,376.368408203125
1692997119.8778691,819200,345.5070495605469
1692997138.477545,851968,308.3529357910156
1692997155.0241659,884736,324.9142761230469
1692997172.0461745,917504,470.5789489746094
1692997187.8944292,950272,514.8653564453125
1692997202.1857648,983040,469.0517272949219
1692997216.512281,1015808,367.5946044921875
1692997233.7174044,1048576,331.8648681640625
1692997252.0980747,1081344,375.7323913574219
1692997271.9010353,1114112,352.3055419921875
1692997289.6367054,1146880,311.0813903808594
1692997299.3634737,1152000,287.8333435058594
1692997311.2411559,1179648,355.79364013671875
1692997330.6987336,1212416,369.0769348144531
1692997348.8285785,1245184,425.0746154785156
1692997367.4607713,1277952,364.0869445800781
1692997385.8579466,1310720,385.56451416015625
1692997404.0894747,1343488,332.417724609375
1692997422.031223,1376256,343.0789489746094
1692997440.0679653,1409024,388.19696044921875
1692997457.5907671,1441792,394.359375
1692997475.2477436,1474560,326.1875
1692997492.693829,1507328,325.33782958984375
1692997509.9335752,1536000,283.07244873046875
1692997511.5240622,1540096,342.30767822265625
1692997528.7362099,1572864,245.6666717529297
1692997546.0327113,1605632,257.2643737792969
1692997563.3413272,1638400,222.948974609375
1692997581.3680794,1671168,197.6571502685547
1692997598.8677309,1703936,204.26470947265625
1692997616.5661287,1736704,250.67816162109375
1692997633.3777483,1769472,268.4624938964844
1692997650.7466116,1802240,374.19049072265625
1692997667.6217613,1835008,302.277099609375
1692997684.555491,1867776,231.39559936523438
1692997701.05041,1900544,280.795166015625
1692997714.1558623,1920000,245.50942993164062
1692997719.4085934,1933312,257.0
1692997735.958489,1966080,279.2894592285156
1692997752.7943292,1998848,290.0987548828125
1692997769.3215165,2031616,264.8795166015625
1692997785.7169964,2064384,199.80899047851562
1692997801.9542205,2097152,228.5731658935547
1692997818.0147467,2129920,190.4845428466797
1692997834.453804,2162688,239.69512939453125
1692997850.7108152,2195456,274.9012451171875
1692997866.7967203,2228224,324.97369384765625
1692997882.8510206,2260992,294.54998779296875
1692997899.2777307,2293760,263.5333251953125
1692997908.5286424,2304000,183.23809814453125
1692997917.3900194,2326528,285.862060546875
1692997935.198584,2359296,228.51612854003906
1692997953.1806715,2392064,269.5769348144531
1692997971.1109338,2424832,321.4533386230469
1692997988.1852548,2457600,307.1369934082031
1692998005.3006992,2490368,279.9264831542969
1692998023.2927713,2523136,264.8227844238281
1692998040.469763,2555904,289.47760009765625
1692998057.1705174,2588672,284.18603515625
1692998074.4347067,2621440,295.90667724609375
1692998092.8948336,2654208,282.44873046875
1692998109.3002796,2686976,351.1856994628906
1692998115.997316,2688000,239.0
1692998127.6119802,2719744,309.6233825683594
1692998144.5023692,2752512,267.96429443359375
1692998163.3039289,2785280,279.88507080078125
1692998181.7099397,2818048,287.811767578125
1692998200.1036654,2850816,344.4285583496094
1692998217.264574,2883584,276.137939453125
1692998236.337166,2916352,275.96429443359375
1692998255.5066657,2949120,353.774658203125
1692998272.7852063,2981888,361.52777099609375
1692998289.494625,3014656,361.76812744140625
