Wall time,Step,Value
1692996711.6938515,32768,3024.0
1692996723.6165466,65536,2879.0
1692996737.158272,98304,2708.0
1692996752.5770264,131072,2534.0
1692996766.3403552,163840,2502.0
1692996782.991585,196608,2393.0
1692996806.6955972,229376,2167.0
1692996826.4184663,262144,2087.0
1692996846.8990173,294912,2019.0
1692996864.9540591,327680,1996.0
1692996883.0404863,360448,1978.0
1692996901.5161905,393216,1959.0
1692996918.1381717,425984,1960.0
1692996934.7583447,458752,1961.0
1692996952.4764416,491520,1953.0
1692996969.290374,524288,1953.0
1692996986.564325,557056,1949.0
1692997004.4177825,589824,1943.0
1692997019.4178443,622592,1954.0
1692997033.9818304,655360,1967.0
1692997048.5089803,688128,1979.0
1692997063.9196022,720896,1985.0
1692997080.3283014,753664,1986.0
1692997100.4252684,786432,1968.0
1692997119.8777714,819200,1955.0
1692997138.4774442,851968,1946.0
1692997155.024066,884736,1948.0
1692997172.0460756,917504,1947.0
1692997187.8943317,950272,1951.0
1692997202.1856568,983040,1960.0
1692997216.5121849,1015808,1969.0
1692997233.7173045,1048576,1967.0
1692997252.0979524,1081344,1961.0
1692997271.900936,1114112,1951.0
1692997289.6365843,1146880,1947.0
1692997311.2411265,1179648,1932.0
1692997330.6986332,1212416,1924.0
1692997348.8284814,1245184,1921.0
1692997367.460675,1277952,1917.0
1692997385.8578382,1310720,1913.0
1692997404.0893447,1343488,1910.0
1692997422.0311196,1376256,1908.0
1692997440.0678678,1409024,1906.0
1692997457.5906665,1441792,1905.0
1692997475.247644,1474560,1904.0
1692997492.6937225,1507328,1903.0
1692997511.5240343,1540096,1899.0
1692997528.736109,1572864,1899.0
1692997546.032613,1605632,1899.0
1692997563.3412302,1638400,1899.0
1692997581.3679507,1671168,1897.0
1692997598.8676305,1703936,1897.0
1692997616.5660264,1736704,1896.0
1692997633.377459,1769472,1897.0
1692997650.746506,1802240,1897.0
1692997667.6216593,1835008,1898.0
1692997684.555394,1867776,1898.0
1692997701.0503123,1900544,1900.0
1692997719.4085634,1933312,1898.0
1692997735.9583898,1966080,1899.0
1692997752.7942169,1998848,1900.0
1692997769.3214169,2031616,1901.0
1692997785.7168946,2064384,1902.0
1692997801.9541209,2097152,1904.0
1692997818.0146456,2129920,1906.0
1692997834.4537053,2162688,1907.0
1692997850.7106838,2195456,1909.0
1692997866.7966213,2228224,1911.0
1692997882.8509223,2260992,1912.0
1692997899.2776318,2293760,1913.0
1692997917.3899913,2326528,1912.0
1692997935.1984808,2359296,1911.0
1692997953.180574,2392064,1910.0
1692997971.1108336,2424832,1908.0
1692997988.1851587,2457600,1909.0
1692998005.3006046,2490368,1909.0
1692998023.292667,2523136,1907.0
1692998040.4696677,2555904,1907.0
1692998057.17042,2588672,1908.0
1692998074.434606,2621440,1908.0
1692998092.894735,2654208,1906.0
1692998109.3001814,2686976,1907.0
1692998127.6119523,2719744,1906.0
1692998144.5022683,2752512,1906.0
1692998163.3038328,2785280,1904.0
1692998181.7098,2818048,1902.0
1692998200.10357,2850816,1901.0
1692998217.2644782,2883584,1901.0
1692998236.3370652,2916352,1899.0
1692998255.506569,2949120,1896.0
1692998272.785103,2981888,1896.0
1692998289.4945295,3014656,1897.0
